proof_order_index,module,target,input_order,semantic_family,proof_tier,proof_tier_reason,generated_target_dependencies,cycle_or_unresolved_dependencies,bottom_up_rationale
47,slice,core::slice::chunk_by_mut,32,iterator-splitting-and-chunking,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
48,slice,core::slice::clone_from_slice,37,mutation-frame-and-permutation,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
49,slice,core::slice::contains,38,search-prefix-suffix-ordering,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
50,slice,core::slice::ends_with,40,search-prefix-suffix-ordering,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
51,slice,core::slice::fill,43,mutation-frame-and-permutation,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
52,slice,core::slice::fill_with,44,mutation-frame-and-permutation,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
53,slice,core::slice::from_raw_parts,48,raw-pointer-and-provenance,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
54,slice,core::slice::from_raw_parts_mut,49,raw-pointer-and-provenance,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
55,slice,core::slice::get_disjoint_unchecked_mut,52,mutation-frame-and-permutation,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
56,slice,core::slice::get_unchecked,54,raw-pointer-and-provenance,1,no generated-target callees; unsafe/intrinsic/MaybeUninit boundary required,[],[],all generated-target dependencies ordered earlier
57,slice,core::slice::get_unchecked_mut,55,raw-pointer-and-provenance,1,no generated-target callees; unsafe/intrinsic/MaybeUninit boundary required,[],[],all generated-target dependencies ordered earlier
58,slice,core::slice::is_sorted_by_key,59,search-prefix-suffix-ordering,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
59,slice,core::slice::last_chunk,61,iterator-splitting-and-chunking,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
60,slice,core::slice::last_chunk_mut,62,iterator-splitting-and-chunking,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
61,slice,core::slice::rsplit,73,iterator-splitting-and-chunking,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
62,slice,core::slice::rsplit_mut,74,iterator-splitting-and-chunking,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
63,slice,core::slice::select_nth_unstable,77,sorting-and-selection,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
64,slice,core::slice::select_nth_unstable_by,78,sorting-and-selection,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
65,slice,core::slice::select_nth_unstable_by_key,79,sorting-and-selection,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
66,slice,core::slice::sort_unstable,80,sorting-and-selection,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
67,slice,core::slice::sort_unstable_by,81,sorting-and-selection,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
68,slice,core::slice::sort_unstable_by_key,82,sorting-and-selection,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
69,slice,core::slice::split,83,iterator-splitting-and-chunking,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
70,slice,core::slice::split_inclusive,92,iterator-splitting-and-chunking,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
71,slice,core::slice::split_inclusive_mut,93,iterator-splitting-and-chunking,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
72,slice,core::slice::split_last_chunk,95,iterator-splitting-and-chunking,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
73,slice,core::slice::split_last_chunk_mut,96,iterator-splitting-and-chunking,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
74,slice,core::slice::split_mut,98,iterator-splitting-and-chunking,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
75,slice,core::slice::starts_with,107,search-prefix-suffix-ordering,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
76,slice,core::slice::strip_prefix,109,search-prefix-suffix-ordering,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
77,slice,core::slice::strip_suffix,110,search-prefix-suffix-ordering,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
78,slice,core::slice::swap,112,mutation-frame-and-permutation,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
79,vec,alloc::vec::IntoIter::as_mut_slice,122,vec-iterator-adaptor-state,1,no generated-target callees; unsafe/intrinsic/MaybeUninit boundary required,[],[],all generated-target dependencies ordered earlier
80,vec,alloc::vec::IntoIter::as_slice,123,vec-iterator-adaptor-state,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
81,vec,alloc::vec::Vec::as_mut_ptr,124,vec-raw-parts-pointer-provenance,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
82,vec,alloc::vec::Vec::as_ptr,125,vec-raw-parts-pointer-provenance,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
83,vec,alloc::vec::Vec::extend_from_within,130,vec-sequence-mutation,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
84,vec,alloc::vec::Vec::extract_if,131,vec-iterator-adaptor-state,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
85,vec,alloc::vec::Vec::from_raw_parts,132,vec-raw-parts-pointer-provenance,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
86,vec,alloc::vec::Vec::into_boxed_slice,134,vec-slice-boxed-slice-conversion,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
87,vec,alloc::vec::Vec::into_flattened,135,vec-sequence-mutation,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
88,vec,alloc::vec::Vec::into_raw_parts,136,vec-raw-parts-pointer-provenance,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
89,vec,alloc::vec::Vec::leak,137,vec-slice-boxed-slice-conversion,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
90,vec,alloc::vec::Vec::pop_if,138,vec-callback-trace-mutation,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
91,vec,alloc::vec::Vec::resize_with,140,vec-callback-trace-mutation,1,no generated-target callees; trait/callback behavior required,[],[],all generated-target dependencies ordered earlier
92,vec,alloc::vec::Vec::retain_mut,142,vec-callback-trace-mutation,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
93,vec,alloc::vec::Vec::set_len,143,vec-raw-parts-pointer-provenance,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],all generated-target dependencies ordered earlier
94,slice,core::slice::align_to,8,raw-pointer-and-provenance,2,depends on other generated targets,"['core::slice::as_ptr', 'core::slice::from_raw_parts']",[],all generated-target dependencies ordered earlier
95,slice,core::slice::align_to_mut,9,raw-pointer-and-provenance,2,depends on other generated targets,"['core::slice::as_ptr', 'core::slice::from_raw_parts_mut']",[],all generated-target dependencies ordered earlier
96,slice,core::slice::as_array,11,views-and-fixed-subranges,2,depends on other generated targets,['core::slice::as_ptr'],[],all generated-target dependencies ordered earlier
97,slice,core::slice::as_chunks_unchecked,14,iterator-splitting-and-chunking,2,depends on other generated targets,"['core::slice::as_ptr', 'core::slice::from_raw_parts']",[],all generated-target dependencies ordered earlier
98,slice,core::slice::as_chunks_unchecked_mut,15,iterator-splitting-and-chunking,2,depends on other generated targets,"['core::slice::as_mut_ptr', 'core::slice::from_raw_parts_mut']",[],all generated-target dependencies ordered earlier
99,slice,core::slice::as_flattened,16,views-and-fixed-subranges,2,depends on other generated targets,"['core::slice::as_ptr', 'core::slice::from_raw_parts']",[],all generated-target dependencies ordered earlier
100,slice,core::slice::as_flattened_mut,17,views-and-fixed-subranges,2,depends on other generated targets,"['core::slice::as_mut_ptr', 'core::slice::from_raw_parts_mut']",[],all generated-target dependencies ordered earlier
101,slice,core::slice::as_mut_array,18,views-and-fixed-subranges,2,depends on other generated targets,['core::slice::as_mut_ptr'],[],all generated-target dependencies ordered earlier
102,slice,core::slice::as_mut_ptr_range,20,raw-pointer-and-provenance,2,depends on other generated targets,['core::slice::as_mut_ptr'],[],all generated-target dependencies ordered earlier
103,slice,core::slice::as_ptr_range,22,raw-pointer-and-provenance,2,depends on other generated targets,['core::slice::as_ptr'],[],all generated-target dependencies ordered earlier
104,slice,core::slice::binary_search_by,29,search-prefix-suffix-ordering,2,depends on other generated targets,['core::slice::get_unchecked'],[],all generated-target dependencies ordered earlier
105,slice,core::slice::binary_search,28,search-prefix-suffix-ordering,2,depends on other generated targets,['core::slice::binary_search_by'],[],all generated-target dependencies ordered earlier
106,slice,core::slice::binary_search_by_key,30,search-prefix-suffix-ordering,2,depends on other generated targets,['core::slice::binary_search_by'],[],all generated-target dependencies ordered earlier
107,slice,core::slice::element_offset,39,raw-pointer-and-provenance,2,depends on other generated targets,['core::slice::as_ptr'],[],all generated-target dependencies ordered earlier
108,slice,core::slice::first_chunk,45,iterator-splitting-and-chunking,2,depends on other generated targets,['core::slice::as_ptr'],[],all generated-target dependencies ordered earlier
109,slice,core::slice::first_chunk_mut,46,iterator-splitting-and-chunking,2,depends on other generated targets,['core::slice::as_mut_ptr'],[],all generated-target dependencies ordered earlier
110,slice,core::slice::get_disjoint_mut,51,mutation-frame-and-permutation,2,depends on other generated targets,['core::slice::get_disjoint_unchecked_mut'],[],all generated-target dependencies ordered earlier
111,slice,core::slice::is_sorted,57,search-prefix-suffix-ordering,2,depends on other generated targets,['core::slice::windows'],[],all generated-target dependencies ordered earlier
112,slice,core::slice::is_sorted_by,58,search-prefix-suffix-ordering,2,depends on other generated targets,['core::slice::array_windows'],[],all generated-target dependencies ordered earlier
113,slice,core::slice::partition_point,65,search-prefix-suffix-ordering,2,depends on other generated targets,['core::slice::binary_search_by'],[],all generated-target dependencies ordered earlier
114,slice,core::slice::reverse,70,mutation-frame-and-permutation,2,depends on other generated targets,['core::slice::as_mut_ptr_range'],[],all generated-target dependencies ordered earlier
115,slice,core::slice::rotate_left,71,mutation-frame-and-permutation,2,depends on other generated targets,['core::slice::as_mut_ptr'],[],all generated-target dependencies ordered earlier
116,slice,core::slice::rotate_right,72,mutation-frame-and-permutation,2,depends on other generated targets,['core::slice::as_mut_ptr'],[],all generated-target dependencies ordered earlier
117,slice,core::slice::rsplitn,75,iterator-splitting-and-chunking,2,depends on other generated targets,['core::slice::rsplit'],[],all generated-target dependencies ordered earlier
118,slice,core::slice::rsplitn_mut,76,iterator-splitting-and-chunking,2,depends on other generated targets,['core::slice::rsplit_mut'],[],all generated-target dependencies ordered earlier
119,slice,core::slice::split_at_mut_unchecked,86,iterator-splitting-and-chunking,2,depends on other generated targets,"['core::slice::as_mut_ptr', 'core::slice::from_raw_parts_mut']",[],all generated-target dependencies ordered earlier
120,slice,core::slice::as_chunks_mut,13,iterator-splitting-and-chunking,2,depends on other generated targets,['core::slice::split_at_mut_unchecked'],[],all generated-target dependencies ordered earlier
121,slice,core::slice::split_at_mut_checked,85,iterator-splitting-and-chunking,2,depends on other generated targets,['core::slice::split_at_mut_unchecked'],[],all generated-target dependencies ordered earlier
122,slice,core::slice::split_at_unchecked,87,iterator-splitting-and-chunking,2,depends on other generated targets,"['core::slice::as_ptr', 'core::slice::from_raw_parts']",[],all generated-target dependencies ordered earlier
123,slice,core::slice::as_chunks,12,iterator-splitting-and-chunking,2,depends on other generated targets,['core::slice::split_at_unchecked'],[],all generated-target dependencies ordered earlier
124,slice,core::slice::split_at_checked,84,iterator-splitting-and-chunking,2,depends on other generated targets,['core::slice::split_at_unchecked'],[],all generated-target dependencies ordered earlier
125,slice,core::slice::split_first_chunk,89,iterator-splitting-and-chunking,2,depends on other generated targets,['core::slice::split_at_checked'],[],all generated-target dependencies ordered earlier
126,slice,core::slice::split_first_chunk_mut,90,iterator-splitting-and-chunking,2,depends on other generated targets,['core::slice::split_at_mut_checked'],[],all generated-target dependencies ordered earlier
127,slice,core::slice::split_off_first,100,iterator-splitting-and-chunking,2,depends on other generated targets,['core::slice::split_first'],[],all generated-target dependencies ordered earlier
128,slice,core::slice::split_off_last,102,iterator-splitting-and-chunking,2,depends on other generated targets,['core::slice::split_last'],[],all generated-target dependencies ordered earlier
129,slice,core::slice::splitn,105,iterator-splitting-and-chunking,2,depends on other generated targets,['core::slice::split'],[],all generated-target dependencies ordered earlier
130,slice,core::slice::splitn_mut,106,iterator-splitting-and-chunking,2,depends on other generated targets,['core::slice::split_mut'],[],all generated-target dependencies ordered earlier
131,slice,core::slice::strip_circumfix,108,search-prefix-suffix-ordering,2,depends on other generated targets,['core::slice::strip_prefix'],[],all generated-target dependencies ordered earlier
132,slice,core::slice::subslice_range,111,raw-pointer-and-provenance,2,depends on other generated targets,['core::slice::as_ptr'],[],all generated-target dependencies ordered earlier
133,slice,core::slice::swap_with_slice,113,mutation-frame-and-permutation,2,depends on other generated targets,['core::slice::as_mut_ptr'],[],all generated-target dependencies ordered earlier
134,slice,core::slice::trim_ascii,114,ascii-byte-sequence,2,depends on other generated targets,['core::slice::trim_ascii_start'],[],all generated-target dependencies ordered earlier
135,slice,core::slice::write_clone_of_slice,119,maybe-uninit-slice-storage,2,depends on other generated targets,['core::slice::assume_init_mut'],[],all generated-target dependencies ordered earlier
136,slice,core::slice::write_copy_of_slice,120,maybe-uninit-slice-storage,2,depends on other generated targets,['core::slice::assume_init_mut'],[],all generated-target dependencies ordered earlier
137,vec,alloc::vec::Vec::dedup_by,127,vec-callback-trace-mutation,2,depends on other generated targets,['alloc::vec::Vec::as_mut_ptr'],[],all generated-target dependencies ordered earlier
138,vec,alloc::vec::Vec::dedup,126,vec-callback-trace-mutation,2,depends on other generated targets,['alloc::vec::Vec::dedup_by'],[],all generated-target dependencies ordered earlier
139,vec,alloc::vec::Vec::dedup_by_key,128,vec-callback-trace-mutation,1,source-shaped local skeleton with lower raw-pointer/callback/effect boundaries,[],[],source-shaped local dedup_by skeleton; no generated-target dependency remains
140,vec,alloc::vec::Vec::drain,129,vec-iterator-adaptor-state,2,depends on other generated targets,"['alloc::vec::Vec::as_ptr', 'alloc::vec::Vec::set_len']",[],all generated-target dependencies ordered earlier
141,vec,alloc::vec::Vec::insert_mut,133,vec-sequence-mutation,2,depends on other generated targets,"['alloc::vec::Vec::as_mut_ptr', 'alloc::vec::Vec::set_len']",[],all generated-target dependencies ordered earlier
142,vec,alloc::vec::Vec::push_mut,139,vec-sequence-mutation,2,depends on other generated targets,['alloc::vec::Vec::as_mut_ptr'],[],all generated-target dependencies ordered earlier
143,vec,alloc::vec::Vec::retain,141,vec-callback-trace-mutation,2,depends on other generated targets,['alloc::vec::Vec::retain_mut'],[],all generated-target dependencies ordered earlier
144,vec,alloc::vec::Vec::spare_capacity_mut,144,vec-spare-capacity-maybeuninit-storage,2,depends on other generated targets,['alloc::vec::Vec::as_mut_ptr'],[],all generated-target dependencies ordered earlier
145,slice,core::slice::copy_from_slice,145,existing-vstd-baseline,1,no generated-target callees; unsafe/intrinsic/MaybeUninit boundary required,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
146,slice,core::slice::copy_within,146,existing-vstd-baseline,2,depends on other generated targets,['core::slice::as_mut_ptr'],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
147,slice,core::slice::first,147,existing-vstd-baseline,0,no generated-target callees or detected hard boundary,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
148,slice,core::slice::first_mut,148,existing-vstd-baseline,0,no generated-target callees or detected hard boundary,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
149,slice,core::slice::get,149,existing-vstd-baseline,0,no generated-target callees or detected hard boundary,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
150,slice,core::slice::is_empty,150,existing-vstd-baseline,0,no generated-target callees or detected hard boundary,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
151,slice,core::slice::iter,151,existing-vstd-baseline,0,no generated-target callees or detected hard boundary,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
152,slice,core::slice::last,152,existing-vstd-baseline,0,no generated-target callees or detected hard boundary,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
153,slice,core::slice::last_mut,153,existing-vstd-baseline,0,no generated-target callees or detected hard boundary,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
154,slice,core::slice::len,154,existing-vstd-baseline,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
155,slice,core::slice::split_at,155,existing-vstd-baseline,2,depends on other generated targets,['core::slice::split_at_checked'],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
156,slice,core::slice::split_at_mut,156,existing-vstd-baseline,2,depends on other generated targets,['core::slice::split_at_mut_checked'],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
157,vec,alloc::vec::Vec::append,157,vec-sequence-mutation,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
158,vec,alloc::vec::Vec::as_mut_slice,158,vec-logical-sequence-view,2,depends on other generated targets,['alloc::vec::Vec::as_mut_ptr'],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
159,vec,alloc::vec::Vec::as_slice,159,vec-logical-sequence-view,2,depends on other generated targets,['alloc::vec::Vec::as_ptr'],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
160,vec,alloc::vec::Vec::capacity,160,vec-capacity-allocation-state,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
161,vec,alloc::vec::Vec::clear,161,vec-sequence-mutation,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
162,vec,alloc::vec::Vec::extend_from_slice,162,vec-sequence-mutation,0,no generated-target callees or detected hard boundary,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
163,vec,alloc::vec::Vec::insert,163,vec-sequence-mutation,2,depends on other generated targets,['alloc::vec::Vec::insert_mut'],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
164,vec,alloc::vec::Vec::is_empty,164,vec-logical-sequence-view,0,no generated-target callees or detected hard boundary,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
165,vec,alloc::vec::Vec::len,165,vec-logical-sequence-view,0,no generated-target callees or detected hard boundary,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
166,vec,alloc::vec::Vec::new,166,vec-sequence-mutation,1,no generated-target callees; allocator/raw-pointer boundary required,[],[],live-scope exact-vstd row appended after the 144 generated rows to preserve reviewed generated proof order; Rust body proof is completed and recorded in the target-local harness/evidence
