canonical_target,display_path,origin_path,declaration_id,source_location,copied_source_path,original_source_path,kind,signature,generic_bounds,safety,stability,since,constness,abi,alias_approximate,has_approximate_alias,existing_vstd_status,existing_vstd_provenance,planned_spec_status,semantic_family,source_observable_inputs,source_observable_outputs,source_observable_mutations,required_shared_model_helper,decisive_validation_command,final_contract_or_justified_no_spec_status,counting_basis
core::slice::as_array,core::slice::<[T]>::as_array,core::slice::as_array,core:61076,core/src/slice/mod.rs:853,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,pub const fn as_array<const N: usize>(&self) -> Option<&[T; N]>,<const N: usize>,safe,stable,1.93.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,views-and-fixed-subranges,&self,Option<&[T; N]>,none; observational or constructor result only,Seq fixed-size array/chunk/subrange view helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::as_chunks,core::slice::<[T]>::as_chunks,core::slice::as_chunks,core:61081,core/src/slice/mod.rs:1399,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub const fn as_chunks<const N: usize>(&self) -> (&[[T; N]], &[T])",<const N: usize>,safe,stable,1.88.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,&self,"(&[[T; N]], &[T])",none; observational or constructor result only,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::as_chunks_mut,core::slice::<[T]>::as_chunks_mut,core::slice::as_chunks_mut,core:61082,core/src/slice/mod.rs:1555,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub const fn as_chunks_mut<const N: usize>(&mut self) -> (&mut [[T; N]], &mut [T])",<const N: usize>,safe,stable,1.88.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,&mut self,"(&mut [[T; N]], &mut [T])",may mutate receiver slice contents; inventory requires old/final frame in generation phase,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::as_chunks_unchecked,core::slice::<[T]>::as_chunks_unchecked,core::slice::as_chunks_unchecked,core:61085,core/src/slice/mod.rs:1341,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,pub const unsafe fn as_chunks_unchecked<const N: usize>(&self) -> &[[T; N]],<const N: usize>,unsafe,stable,1.88.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,&self,&[[T; N]],none; observational or constructor result only,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::as_chunks_unchecked_mut,core::slice::<[T]>::as_chunks_unchecked_mut,core::slice::as_chunks_unchecked_mut,core:61088,core/src/slice/mod.rs:1501,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,pub const unsafe fn as_chunks_unchecked_mut<const N: usize>(&mut self) -> &mut [[T; N]],<const N: usize>,unsafe,stable,1.88.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,&mut self,&mut [[T; N]],may mutate receiver slice contents; inventory requires old/final frame in generation phase,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::as_flattened,core::slice::<[T]>::as_flattened,core::slice::as_flattened,core:61083,core/src/slice/mod.rs:5451,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,pub const fn as_flattened(&self) -> &[T],none,safe,stable,1.80.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,views-and-fixed-subranges,&self,&[T],none; observational or constructor result only,Seq fixed-size array/chunk/subrange view helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::as_flattened_mut,core::slice::<[T]>::as_flattened_mut,core::slice::as_flattened_mut,core:61086,core/src/slice/mod.rs:5493,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,pub const fn as_flattened_mut(&mut self) -> &mut [T],none,safe,stable,1.80.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,views-and-fixed-subranges,&mut self,&mut [T],may mutate receiver slice contents; inventory requires old/final frame in generation phase,Seq fixed-size array/chunk/subrange view helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::as_mut_array,core::slice::<[T]>::as_mut_array,core::slice::as_mut_array,core:61077,core/src/slice/mod.rs:872,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,pub const fn as_mut_array<const N: usize>(&mut self) -> Option<&mut [T; N]>,<const N: usize>,safe,stable,1.93.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,views-and-fixed-subranges,&mut self,Option<&mut [T; N]>,may mutate receiver slice contents; inventory requires old/final frame in generation phase,Seq fixed-size array/chunk/subrange view helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::as_mut_ptr,core::slice::<[T]>::as_mut_ptr,core::slice::as_mut_ptr,core:61074,core/src/slice/mod.rs:760,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,pub const fn as_mut_ptr(&mut self) -> *mut T,none,safe,stable,1.0.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,raw-pointer-and-provenance,&mut self,*mut T,may mutate receiver slice contents; inventory requires old/final frame in generation phase,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers",python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::as_mut_ptr_range,core::slice::<[T]>::as_mut_ptr_range,core::slice::as_mut_ptr_range,core:33775,core/src/slice/mod.rs:839,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,pub const fn as_mut_ptr_range(&mut self) -> Range<*mut T>,none,safe,stable,1.48.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,raw-pointer-and-provenance,&mut self,Range<*mut T>,may mutate receiver slice contents; inventory requires old/final frame in generation phase,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers",python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::as_ptr,core::slice::<[T]>::as_ptr,core::slice::as_ptr,core:61075,core/src/slice/mod.rs:728,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,pub const fn as_ptr(&self) -> *const T,none,safe,stable,1.0.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,raw-pointer-and-provenance,&self,*const T,none; observational or constructor result only,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers",python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::as_ptr_range,core::slice::<[T]>::as_ptr_range,core::slice::as_ptr_range,core:33773,core/src/slice/mod.rs:796,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,pub const fn as_ptr_range(&self) -> Range<*const T>,none,safe,stable,1.48.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,raw-pointer-and-provenance,&self,Range<*const T>,none; observational or constructor result only,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers",python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::as_rchunks,core::slice::<[T]>::as_rchunks,core::slice::as_rchunks,core:61084,core/src/slice/mod.rs:1446,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub const fn as_rchunks<const N: usize>(&self) -> (&[T], &[[T; N]])",<const N: usize>,safe,stable,1.88.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,&self,"(&[T], &[[T; N]])",none; observational or constructor result only,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::as_rchunks_mut,core::slice::<[T]>::as_rchunks_mut,core::slice::as_rchunks_mut,core:61087,core/src/slice/mod.rs:1608,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/rust-core-slice/mod.rs,primitive_method,"pub const fn as_rchunks_mut<const N: usize>(&mut self) -> (&mut [T], &mut [[T; N]])",<const N: usize>,safe,stable,1.88.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,iterator-splitting-and-chunking,&mut self,"(&mut [T], &mut [[T; N]])",may mutate receiver slice contents; inventory requires old/final frame in generation phase,Seq subrange/chunk partition and iterator remaining-sequence helpers,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
core::slice::assume_init_drop,core::slice::<[T]>::assume_init_drop,core::slice::assume_init_drop,core:61036,core/src/mem/maybe_uninit.rs:1487,not-copied: outside core/src/slice/** source authority copy,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/core/src/mem/maybe_uninit.rs,primitive_method,"pub const unsafe fn assume_init_drop(&mut self) where T: [const] Destruct,","T: [const] Destruct,",unsafe,stable,1.93.0,const,Rust,False,False,uncovered,none,planned-new-real-relation-spec,maybe-uninit-slice-storage,&mut self,(),may mutate receiver slice contents; inventory requires old/final frame in generation phase,MaybeUninit initialization/raw-storage view plus old/final write-frame helper,python3 verification/check_inventory.py --modules-csv /home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-specgen-2026-08-11/results/modules.csv --inventory inventory/slice_exec_fn_inventory.csv --expect-total 132 --expect-existing-vstd 12,generated-new-real-relation-spec-static-revalidated,stable unique canonical core::slice exec API from results/coverage.csv; aliases/private/unstable rows excluded
