target,semantic_family,direct_shared_helpers,reachable_shared_helpers,audited_shared_helpers,source-backed,law-constrained,irreducible-boundary-abstraction,catalog_shared_helpers_note
alloc::vec::Vec::retain,vec-callback-trace-mutation,vec_retain_result,vec_retain_result,vec_retain_result,,vec_retain_result,,vec_retain_result
alloc::vec::Vec::retain_mut,vec-callback-trace-mutation,vec_retain_mut_result,vec_retain_mut_result,vec_retain_mut_result,,vec_retain_mut_result,,vec_retain_mut_result
alloc::vec::Vec::set_len,vec-raw-parts-pointer-provenance,CapacitySpec::spec_capacity;vec_set_len_domain;vec_set_len_result,CapacitySpec::spec_capacity;vec_set_len_domain;vec_set_len_result,CapacitySpec::spec_capacity;vec_set_len_domain;vec_set_len_result,,,CapacitySpec::spec_capacity;vec_set_len_domain;vec_set_len_result,CapacitySpec::spec_capacity;vec_set_len_domain;vec_set_len_result
alloc::vec::Vec::shrink_to,vec-capacity-allocation-state,CapacitySpec::spec_capacity,CapacitySpec::spec_capacity,CapacitySpec::spec_capacity,,,CapacitySpec::spec_capacity,CapacitySpec::spec_capacity
alloc::vec::Vec::shrink_to_fit,vec-capacity-allocation-state,CapacitySpec::spec_capacity,CapacitySpec::spec_capacity,CapacitySpec::spec_capacity,,,CapacitySpec::spec_capacity,CapacitySpec::spec_capacity
alloc::vec::Vec::spare_capacity_mut,vec-spare-capacity-maybeuninit-storage,CapacitySpec::spec_capacity;vec_spare_capacity_relation,CapacitySpec::spec_capacity;vec_spare_capacity_relation,CapacitySpec::spec_capacity;vec_spare_capacity_relation,,,CapacitySpec::spec_capacity;vec_spare_capacity_relation,CapacitySpec::spec_capacity;vec_spare_capacity_relation
alloc::vec::Vec::splice,vec-iterator-adaptor-state,vec_range_bounds_valid,vec_range_bounds_valid;vec_range_start;vec_range_end,vec_range_bounds_valid;vec_range_start;vec_range_end,,vec_range_bounds_valid;vec_range_start;vec_range_end,,vec_range_bounds_valid;vec_range_start;vec_range_end
alloc::vec::Vec::split_off,vec-sequence-mutation,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::swap_remove,vec-sequence-mutation,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::truncate,vec-sequence-mutation,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::try_reserve,vec-capacity-allocation-state,,,,,,,no additional helper beyond exact Seq/View relation
alloc::vec::Vec::try_reserve_exact,vec-capacity-allocation-state,CapacitySpec::spec_capacity,CapacitySpec::spec_capacity,CapacitySpec::spec_capacity,,,CapacitySpec::spec_capacity,CapacitySpec::spec_capacity
alloc::vec::Vec::with_capacity,vec-capacity-allocation-state,,,,,,,no additional helper beyond exact Seq/View relation
