target,semantic_family,direct_shared_helpers,reachable_shared_helpers,audited_shared_helpers,source-backed,law-constrained,irreducible-boundary-abstraction,catalog_shared_helpers_note
core::slice::first_chunk_mut,iterator-splitting-and-chunking,array_mut_ref_view;array_value_view;slice_fixed_prefix,array_mut_ref_view;array_value_view;slice_fixed_prefix,array_mut_ref_view;array_value_view,array_mut_ref_view;array_value_view,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::from_mut,raw-pointer-and-provenance,,,,,,,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers"
core::slice::from_raw_parts,raw-pointer-and-provenance,slice_from_raw_parts_result;slice_raw_domain;slice_raw_domain_valid,slice_from_raw_parts_result;slice_raw_domain;slice_raw_domain_valid;slice_start_ptr,slice_raw_domain;slice_start_ptr,,,slice_raw_domain;slice_start_ptr,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers"
core::slice::from_raw_parts_mut,raw-pointer-and-provenance,slice_from_raw_parts_mut_result;slice_raw_domain_valid;slice_raw_mut_domain,slice_from_raw_parts_mut_result;slice_raw_domain_valid;slice_raw_mut_domain;slice_start_mut_ptr,slice_raw_mut_domain;slice_start_mut_ptr,,,slice_raw_mut_domain;slice_start_mut_ptr,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers"
core::slice::from_ref,raw-pointer-and-provenance,,,,,,,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers"
core::slice::get_disjoint_mut,mutation-frame-and-permutation,slice_disjoint_indices_valid,slice_disjoint_indices_valid,slice_disjoint_indices_valid,,,slice_disjoint_indices_valid,"old/final Seq update, frame, permutation, and disjointness helpers"
core::slice::get_disjoint_unchecked_mut,mutation-frame-and-permutation,slice_disjoint_indices_valid,slice_disjoint_indices_valid,slice_disjoint_indices_valid,,,slice_disjoint_indices_valid,"old/final Seq update, frame, permutation, and disjointness helpers"
core::slice::get_mut,basic-observation-and-conversion,slice_index_in_range;slice_index_mut_frame,slice_index_in_range;slice_index_mut_frame,slice_index_in_range;slice_index_mut_frame,,,slice_index_in_range;slice_index_mut_frame,shared [T]@ -> Seq<T> View model and length/subrange helpers
core::slice::get_unchecked,raw-pointer-and-provenance,slice_index_in_range;slice_index_result,slice_index_in_range;slice_index_result,slice_index_in_range;slice_index_result,,,slice_index_in_range;slice_index_result,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers"
core::slice::get_unchecked_mut,raw-pointer-and-provenance,slice_index_in_range;slice_index_mut_frame,slice_index_in_range;slice_index_mut_frame,slice_index_in_range;slice_index_mut_frame,,,slice_index_in_range;slice_index_mut_frame,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers"
core::slice::is_ascii,ascii-byte-sequence,ascii_all,ascii_all;ascii_is_byte,,,,,"Source-backed Seq<u8> ASCII classification, case-map, and trim boundary/subrange helpers; EscapeAscii byte expansion remains an iterator-formatting boundary"
core::slice::is_sorted,search-prefix-suffix-ordering,slice_sorted_by_partial_ord,partial_ord_leq_observed;slice_sorted_by_partial_ord,partial_ord_leq_observed,,partial_ord_leq_observed,,"Seq membership, prefix/suffix/subrange, sortedness, and predicate observation helpers"
core::slice::is_sorted_by,search-prefix-suffix-ordering,slice_sorted_by_bool_compare_result,fnmut_adjacent_bool_outputs;fnmut_adjacent_bool_trace_valid;slice_adjacent_pair_count;slice_sorted_by_bool_compare;slice_sorted_by_bool_compare_result,fnmut_adjacent_bool_outputs,,,fnmut_adjacent_bool_outputs,"Seq membership, prefix/suffix/subrange, sortedness, and source-adjacent FnMut observation helpers"
core::slice::is_sorted_by_key,search-prefix-suffix-ordering,slice_sorted_by_partial_key_result,fnmut_adjacent_key_outputs;fnmut_adjacent_key_trace_valid;partial_ord_leq_observed;slice_sorted_by_partial_key;slice_sorted_by_partial_key_result,fnmut_adjacent_key_outputs;partial_ord_leq_observed,,partial_ord_leq_observed,fnmut_adjacent_key_outputs,"Seq membership, prefix/suffix/subrange, sortedness, and source-adjacent FnMut key observation helpers"
core::slice::iter_mut,iterator-splitting-and-chunking,slice_iterator_view,slice_iterator_view,slice_iterator_view,,slice_iterator_view,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::last_chunk,iterator-splitting-and-chunking,array_ref_view;slice_fixed_suffix,array_ref_view;slice_fixed_suffix,array_ref_view,array_ref_view,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::last_chunk_mut,iterator-splitting-and-chunking,array_mut_ref_view;array_value_view;slice_fixed_suffix,array_mut_ref_view;array_value_view;slice_fixed_suffix,array_mut_ref_view;array_value_view,array_mut_ref_view;array_value_view,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::make_ascii_lowercase,ascii-byte-sequence,ascii_lower_seq,ascii_is_uppercase;ascii_lower_byte;ascii_lower_seq,ascii_lower_byte,ascii_lower_byte,,,"Source-backed Seq<u8> ASCII classification, case-map, and trim boundary/subrange helpers; EscapeAscii byte expansion remains an iterator-formatting boundary"
core::slice::make_ascii_uppercase,ascii-byte-sequence,ascii_upper_seq,ascii_is_lowercase;ascii_upper_byte;ascii_upper_seq,ascii_upper_byte,ascii_upper_byte,,,"Source-backed Seq<u8> ASCII classification, case-map, and trim boundary/subrange helpers; EscapeAscii byte expansion remains an iterator-formatting boundary"
core::slice::partition_point,search-prefix-suffix-ordering,slice_partition_point_result,fnmut_predicate_observed;slice_partition_point_result;slice_partitioned_by_predicate,fnmut_predicate_observed,,,fnmut_predicate_observed,"ord_cmp_observed, FnMut ordering/key observation, predicate observation, sortedness, and partition helpers"
core::slice::rchunks,iterator-splitting-and-chunking,slice_iterator_view,slice_iterator_view,slice_iterator_view,,slice_iterator_view,,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::rchunks_exact,iterator-splitting-and-chunking,slice_chunk_partition;slice_iterator_view,slice_chunk_partition;slice_iterator_view;slice_iterator_well_formed,slice_iterator_view,,slice_iterator_view,,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::rchunks_exact_mut,iterator-splitting-and-chunking,slice_chunk_partition;slice_iterator_view,slice_chunk_partition;slice_iterator_view;slice_iterator_well_formed,slice_iterator_view,,slice_iterator_view,,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::rchunks_mut,iterator-splitting-and-chunking,slice_iterator_view,slice_iterator_view,slice_iterator_view,,slice_iterator_view,,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::reverse,mutation-frame-and-permutation,slice_reversed,slice_reversed,,,,,slice_reversed Seq transformer over old/final slice views
core::slice::rotate_left,mutation-frame-and-permutation,slice_rotated_left,slice_rotated_left,,,,,slice_rotated_left subrange-concatenation transformer over old/final slice views
core::slice::rotate_right,mutation-frame-and-permutation,slice_rotated_right,slice_rotated_right,,,,,slice_rotated_right subrange-concatenation transformer over old/final slice views
core::slice::rsplit,iterator-splitting-and-chunking,slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view;slice_iterator_well_formed;slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view,,slice_iterator_view,fnmut_predicate_observed,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::rsplit_mut,iterator-splitting-and-chunking,slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view;slice_iterator_well_formed;slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view,,slice_iterator_view,fnmut_predicate_observed,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::rsplitn,iterator-splitting-and-chunking,slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view;slice_iterator_well_formed;slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view,,slice_iterator_view,fnmut_predicate_observed,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::rsplitn_mut,iterator-splitting-and-chunking,slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view;slice_iterator_well_formed;slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view,,slice_iterator_view,fnmut_predicate_observed,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::select_nth_unstable,sorting-and-selection,slice_permutation;slice_select_partition_ord,ord_cmp_observed;ord_leq_observed;ordering_rank;slice_multiplicity;slice_permutation;slice_select_partition_ord,ord_cmp_observed;slice_multiplicity,slice_multiplicity,ord_cmp_observed,,"Seq permutation, sortedness/order, partition, and comparator Ordering-observation helpers"
core::slice::select_nth_unstable_by,sorting-and-selection,comparator_observation;slice_permutation;slice_select_partition_cmp,comparator_leq_observed;comparator_observation;comparator_ordering_observed;ordering_rank;slice_multiplicity;slice_permutation;slice_select_partition_cmp,comparator_observation;comparator_ordering_observed;slice_multiplicity,slice_multiplicity,comparator_observation;comparator_ordering_observed,,"Seq permutation, sortedness/order, partition, and comparator Ordering-observation helpers"
core::slice::select_nth_unstable_by_key,sorting-and-selection,slice_permutation;slice_select_partition_key,fnmut_key_observed;ord_cmp_observed;ord_leq_observed;ordering_rank;slice_multiplicity;slice_permutation;slice_select_partition_key,fnmut_key_observed;ord_cmp_observed;slice_multiplicity,slice_multiplicity,ord_cmp_observed,fnmut_key_observed,"Seq permutation, sortedness/order, partition, and comparator Ordering-observation helpers"
core::slice::sort_unstable,sorting-and-selection,slice_permutation;slice_sorted_by_ord,ord_cmp_observed;ord_leq_observed;ordering_rank;slice_multiplicity;slice_permutation;slice_sorted_by_ord,ord_cmp_observed;slice_multiplicity,slice_multiplicity,ord_cmp_observed,,"Seq permutation, sortedness/order, partition, and comparator Ordering-observation helpers"
core::slice::sort_unstable_by,sorting-and-selection,comparator_observation;slice_permutation;slice_sorted_by_cmp,comparator_leq_observed;comparator_observation;comparator_ordering_observed;ordering_rank;slice_multiplicity;slice_permutation;slice_sorted_by_cmp,comparator_observation;comparator_ordering_observed;slice_multiplicity,slice_multiplicity,comparator_observation;comparator_ordering_observed,,"Seq permutation, sortedness/order, partition, and comparator Ordering-observation helpers"
core::slice::sort_unstable_by_key,sorting-and-selection,slice_permutation;slice_sorted_by_key,fnmut_key_observed;ord_cmp_observed;ord_leq_observed;ordering_rank;slice_multiplicity;slice_permutation;slice_sorted_by_key,fnmut_key_observed;ord_cmp_observed;slice_multiplicity,slice_multiplicity,ord_cmp_observed,fnmut_key_observed,"Seq permutation, sortedness/order, partition, and comparator Ordering-observation helpers"
core::slice::split,iterator-splitting-and-chunking,slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view;slice_iterator_well_formed;slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view,,slice_iterator_view,fnmut_predicate_observed,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::split_at_checked,iterator-splitting-and-chunking,,,,,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::split_at_mut_checked,iterator-splitting-and-chunking,,,,,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::split_at_mut_unchecked,iterator-splitting-and-chunking,split_point_in_range,split_point_in_range,,,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::split_at_unchecked,iterator-splitting-and-chunking,split_point_in_range,split_point_in_range,,,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::split_first,iterator-splitting-and-chunking,,,,,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::split_first_chunk,iterator-splitting-and-chunking,array_ref_view;slice_fixed_prefix,array_ref_view;slice_fixed_prefix,array_ref_view,array_ref_view,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::split_first_chunk_mut,iterator-splitting-and-chunking,array_mut_ref_view;array_value_view;slice_fixed_prefix,array_mut_ref_view;array_value_view;slice_fixed_prefix,array_mut_ref_view;array_value_view,array_mut_ref_view;array_value_view,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::split_first_mut,iterator-splitting-and-chunking,,,,,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::split_inclusive,iterator-splitting-and-chunking,slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view;slice_iterator_well_formed;slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view,,slice_iterator_view,fnmut_predicate_observed,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::split_inclusive_mut,iterator-splitting-and-chunking,slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view;slice_iterator_well_formed;slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view,,slice_iterator_view,fnmut_predicate_observed,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::split_last,iterator-splitting-and-chunking,,,,,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::split_last_chunk,iterator-splitting-and-chunking,array_ref_view;slice_fixed_suffix,array_ref_view;slice_fixed_suffix,array_ref_view,array_ref_view,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::split_last_chunk_mut,iterator-splitting-and-chunking,array_mut_ref_view;array_value_view;slice_fixed_suffix,array_mut_ref_view;array_value_view;slice_fixed_suffix,array_mut_ref_view;array_value_view,array_mut_ref_view;array_value_view,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::split_last_mut,iterator-splitting-and-chunking,,,,,,,Seq subrange/chunk partition and iterator remaining-sequence helpers
core::slice::split_mut,iterator-splitting-and-chunking,slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view;slice_iterator_well_formed;slice_predicate_split_view,fnmut_predicate_observed;slice_iterator_view,,slice_iterator_view,fnmut_predicate_observed,"Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers"
core::slice::split_off,iterator-splitting-and-chunking,slice_split_off_partition,slice_split_off_partition,,,,,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers"
core::slice::split_off_first,iterator-splitting-and-chunking,slice_split_off_first_result,slice_split_off_first_result,,,,,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers"
core::slice::split_off_first_mut,iterator-splitting-and-chunking,slice_split_off_first_result,slice_split_off_first_result,,,,,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers"
core::slice::split_off_last,iterator-splitting-and-chunking,slice_split_off_last_result,slice_split_off_last_result,,,,,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers"
core::slice::split_off_last_mut,iterator-splitting-and-chunking,slice_split_off_last_result,slice_split_off_last_result,,,,,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers"
