module,path,file,line,syntax,parser,scope
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/duplicate.rs,653,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc,src/tests/integration/test-rust-kernel/src/duplicate.rs,656,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/duplicate.rs,769,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout,src/tests/integration/test-rust-kernel/src/getppid.rs,19,import,rust,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/getppid.rs,161,qualified_path,rust,test_or_benchmark
alloc::alloc,alloc::alloc::alloc,src/tests/integration/test-rust-kernel/src/getppid.rs,164,qualified_path,rust,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/getppid.rs,192,qualified_path,rust,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/getppid.rs,227,qualified_path,rust,test_or_benchmark
alloc::alloc,alloc::alloc::Layout,src/tests/integration/test-rust-kernel/src/rendezvous.rs,8,import,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/rendezvous.rs,80,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,83,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,108,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/rendezvous.rs,577,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,582,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,599,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/rendezvous.rs,624,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc_zeroed,src/tests/integration/test-rust-kernel/src/rendezvous.rs,627,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,646,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,655,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,662,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1010,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1015,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1031,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align_unchecked,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1059,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1089,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc_zeroed,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1092,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1109,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1120,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1124,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1160,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc_zeroed,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1165,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1175,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1183,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align_unchecked,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1216,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1252,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1255,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1269,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1392,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1397,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1410,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1414,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc_zeroed,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1419,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1430,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align_unchecked,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1459,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1525,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1530,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1543,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1549,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1575,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc_zeroed,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1578,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1602,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1615,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1623,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1652,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1659,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1668,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1680,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1697,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1726,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc_zeroed,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1729,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1746,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1754,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1768,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1866,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1871,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1882,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1911,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc_zeroed,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1914,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1931,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1939,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,1946,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align,src/tests/integration/test-rust-kernel/src/rendezvous.rs,2116,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,2124,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,2137,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,2142,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc_zeroed,src/tests/integration/test-rust-kernel/src/rendezvous.rs,2147,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,2162,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,2170,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/rendezvous.rs,2175,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align_unchecked,src/tests/integration/test-rust-kernel/src/rendezvous.rs,2211,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::Layout::from_size_align_unchecked,src/tests/integration/test-rust-kernel/src/rendezvous.rs,2410,qualified_path,verus,test_or_benchmark
alloc::alloc,alloc::alloc::alloc,src/tests/integration/test-rust-kernel/src/tls.rs,470,qualified_path,rust,test_or_benchmark
alloc::alloc,alloc::alloc::dealloc,src/tests/integration/test-rust-kernel/src/tls.rs,491,qualified_path,rust,test_or_benchmark
alloc::borrow,alloc::borrow::Cow,src/libs/syscall/src/fcntl/syscall/openat.rs,40,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow,src/libs/syscall/src/fcntl/syscall/renameat.rs,60,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow,src/libs/syscall/src/fcntl/syscall/renameat.rs,61,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow,src/libs/syscall/src/fcntl/syscall/unlinkat.rs,49,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow,src/libs/syscall/src/path.rs,8,import,rust,production
alloc::borrow,alloc::borrow::Cow::Owned,src/libs/syscall/src/path.rs,38,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow::Owned,src/libs/syscall/src/path.rs,41,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow::Borrowed,src/libs/syscall/src/path.rs,43,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow,src/libs/syscall/src/sys/stat/syscall/fchmodat.rs,50,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow,src/libs/syscall/src/sys/stat/syscall/fstatat.rs,44,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow,src/libs/syscall/src/sys/stat/syscall/mkdirat.rs,52,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow,src/libs/syscall/src/sys/stat/syscall/utimensat.rs,63,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow,src/libs/syscall/src/unistd/syscall/chdir.rs,45,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow,src/libs/syscall/src/unistd/syscall/faccessat.rs,54,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow,src/libs/syscall/src/unistd/syscall/fchownat.rs,68,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow,src/libs/syscall/src/unistd/syscall/linkat.rs,66,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow,src/libs/syscall/src/unistd/syscall/linkat.rs,67,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow,src/libs/syscall/src/unistd/syscall/readlinkat.rs,58,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow,src/libs/syscall/src/unistd/syscall/symlinkat.rs,54,qualified_path,rust,production
alloc::borrow,alloc::borrow::Cow,src/libs/syscall/src/unistd/syscall/symlinkat.rs,55,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/hal/arch/x86/mem/gdt.rs,9,import,rust,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/hal/arch/x86_64/mem/gdt.rs,9,import,rust,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/mm/mod.rs,49,import,rust,production
alloc::boxed,alloc::boxed::Box::try_new,src/kernel/src/mm/mod.rs,198,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/pm/process/manager/mod.rs,85,import,rust,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/pm/process/state/interrupted.rs,22,import,rust,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/pm/process/state/kill_test.rs,31,import,rust,production
alloc::boxed,alloc::boxed::Box::new,src/kernel/src/pm/process/state/kill_test.rs,77,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/pm/process/state/runnable.rs,33,import,rust,production
alloc::boxed,alloc::boxed::Box::new,src/kernel/src/pm/process/state/runnable.rs,73,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/pm/process/state/running.rs,32,import,verus,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/pm/process/state/signal.rs,12,import,verus,production
alloc::boxed,alloc::boxed::Box::new,src/kernel/src/pm/process/state/signal.rs,504,qualified_path,verus,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/pm/process/state/signal_test.rs,20,import,rust,production
alloc::boxed,alloc::boxed::Box::new,src/kernel/src/pm/process/state/signal_test.rs,55,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/pm/process/state/sleeping.rs,24,import,rust,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/pm/process/state/test_detach.rs,33,import,rust,production
alloc::boxed,alloc::boxed::Box::new,src/kernel/src/pm/process/state/test_detach.rs,156,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/pm/process/state/zombie.rs,16,import,rust,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/pm/thread/interrupted.rs,15,import,rust,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/pm/thread/ready.rs,28,import,rust,production
alloc::boxed,alloc::boxed::Box::new,src/kernel/src/pm/thread/ready.rs,85,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/pm/thread/running.rs,23,import,rust,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/pm/thread/sleeping.rs,17,import,rust,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/pm/thread/state.rs,25,import,rust,production
alloc::boxed,alloc::boxed::Box::pin,src/kernel/src/pm/thread/state.rs,145,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::pin,src/kernel/src/pm/thread/state.rs,152,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box,src/kernel/src/pm/thread/zombie.rs,15,import,rust,production
alloc::boxed,alloc::boxed::Box,src/libs/libc_regex/src/ast.rs,8,import,rust,production
alloc::boxed,alloc::boxed::Box,src/libs/libc_regex/src/parser.rs,21,import,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/parser.rs,107,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/parser.rs,123,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/parser.rs,129,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/parser.rs,132,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/parser.rs,155,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/parser.rs,169,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/parser.rs,181,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/parser.rs,186,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/parser.rs,194,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/parser.rs,198,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/parser.rs,206,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/parser.rs,207,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/parser.rs,208,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/parser.rs,210,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/parser.rs,214,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/parser.rs,223,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/parser.rs,248,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box,src/libs/libc_regex/src/regcomp.rs,29,import,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/libc_regex/src/regcomp.rs,88,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::into_raw,src/libs/libc_regex/src/regcomp.rs,91,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box,src/libs/libc_regex/src/regfree.rs,12,import,rust,production
alloc::boxed,alloc::boxed::Box::from_raw,src/libs/libc_regex/src/regfree.rs,42,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::leak,src/libs/nanvix_libc/src/start.rs,176,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::leak,src/libs/nanvix_libc/src/start.rs,181,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box,src/libs/syscall/src/dirent/bindings/closedir.rs,15,import,rust,production
alloc::boxed,alloc::boxed::Box::from_raw,src/libs/syscall/src/dirent/bindings/closedir.rs,64,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box,src/libs/syscall/src/dirent/bindings/dirfd.rs,12,import,rust,production
alloc::boxed,alloc::boxed::Box::from_raw,src/libs/syscall/src/dirent/bindings/dirfd.rs,62,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box,src/libs/syscall/src/dirent/bindings/opendir.rs,15,import,rust,production
alloc::boxed,alloc::boxed::Box::into_raw,src/libs/syscall/src/dirent/bindings/opendir.rs,74,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box,src/libs/syscall/src/dirent/bindings/readdir.rs,12,import,rust,production
alloc::boxed,alloc::boxed::Box::from_raw,src/libs/syscall/src/dirent/bindings/readdir.rs,73,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box,src/libs/syscall/src/dirent/syscall/closedir.rs,12,import,rust,production
alloc::boxed,alloc::boxed::Box,src/libs/syscall/src/dirent/syscall/opendir.rs,13,import,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/syscall/src/dirent/syscall/opendir.rs,26,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box,src/libs/syscall/src/dirent/syscall/readdir.rs,13,import,rust,production
alloc::boxed,alloc::boxed::Box,src/libs/syscall/src/pthread/syscall/rwlock.rs,8,import,rust,production
alloc::boxed,alloc::boxed::Box::into_raw,src/libs/syscall/src/pthread/syscall/rwlock.rs,85,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/syscall/src/pthread/syscall/rwlock.rs,85,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::into_raw,src/libs/syscall/src/pthread/syscall/rwlock.rs,86,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/syscall/src/pthread/syscall/rwlock.rs,86,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::into_raw,src/libs/syscall/src/pthread/syscall/rwlock.rs,87,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::new,src/libs/syscall/src/pthread/syscall/rwlock.rs,87,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::from_raw,src/libs/syscall/src/pthread/syscall/rwlock.rs,112,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::from_raw,src/libs/syscall/src/pthread/syscall/rwlock.rs,113,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box::from_raw,src/libs/syscall/src/pthread/syscall/rwlock.rs,114,qualified_path,rust,production
alloc::boxed,alloc::boxed::Box,src/libs/vfs/src/state.rs,25,import,verus,production
alloc::boxed,alloc::boxed::Box::from_raw,src/libs/vfs/src/state.rs,123,qualified_path,verus,production
alloc::boxed,alloc::boxed::Box::into_raw,src/libs/vfs/src/state.rs,250,qualified_path,verus,production
alloc::boxed,alloc::boxed::Box::from_raw,src/libs/vfs/src/state.rs,367,qualified_path,verus,production
alloc::boxed,alloc::boxed::Box,src/tests/integration/test-rust-kernel/src/tls.rs,25,import,rust,test_or_benchmark
alloc::boxed,alloc::boxed::Box::new,src/tests/integration/test-rust-kernel/src/tls.rs,195,qualified_path,rust,test_or_benchmark
alloc::boxed,alloc::boxed::Box::new,src/tests/integration/test-rust-kernel/src/tls.rs,218,qualified_path,rust,test_or_benchmark
alloc::boxed,alloc::boxed::Box::new,src/tests/integration/test-rust-kernel/src/tls.rs,257,qualified_path,rust,test_or_benchmark
alloc::boxed,alloc::boxed::Box::new,src/tests/integration/test-rust-kernel/src/tls.rs,258,qualified_path,rust,test_or_benchmark
alloc::boxed,alloc::boxed::Box::new,src/tests/integration/test-rust-kernel/src/tls.rs,295,qualified_path,rust,test_or_benchmark
alloc::boxed,alloc::boxed::Box::new,src/tests/integration/test-rust-kernel/src/tls.rs,346,qualified_path,rust,test_or_benchmark
alloc::boxed,alloc::boxed::Box::new,src/tests/integration/test-rust-kernel/src/tls.rs,377,qualified_path,rust,test_or_benchmark
alloc::boxed,alloc::boxed::Box::new,src/tests/integration/test-rust-kernel/src/tls.rs,406,qualified_path,rust,test_or_benchmark
alloc::boxed,alloc::boxed::Box::new,src/tests/integration/test-rust-kernel/src/tls.rs,407,qualified_path,rust,test_or_benchmark
alloc::boxed,alloc::boxed::Box::new,src/tests/integration/test-rust-kernel/src/tls.rs,571,qualified_path,rust,test_or_benchmark
alloc::boxed,alloc::boxed::Box::new,src/tests/integration/test-rust-kernel/src/tls.rs,580,qualified_path,rust,test_or_benchmark
alloc::boxed,alloc::boxed::Box::new,src/tests/integration/test-rust-kernel/src/tls.rs,624,qualified_path,rust,test_or_benchmark
alloc::boxed,alloc::boxed::Box::new,src/tests/integration/test-rust-kernel/src/tls.rs,633,qualified_path,rust,test_or_benchmark
alloc::boxed,alloc::boxed::Box::new,src/tests/integration/test-rust-kernel/src/tls.rs,692,qualified_path,rust,test_or_benchmark
alloc::boxed,alloc::boxed::Box::new,src/tests/integration/test-rust-kernel/src/tls.rs,701,qualified_path,rust,test_or_benchmark
alloc::boxed,alloc::boxed::Box::leak,src/tests/integration/test-rust-vfs-test/src/main.rs,158,qualified_path,rust,test_or_benchmark
