target,transition,prior_category,fresh_category,prior_status,fresh_status,prior_rounds,fresh_rounds,prior_initial_decision,fresh_initial_decision,prior_final_decision,fresh_final_decision,prior_contract_form,fresh_contract_form,prior_typecheck_passed,fresh_typecheck_passed,prior_det_status,fresh_det_status,prior_r0_z3,fresh_r0_z3,prior_classification,fresh_classification,prior_raw_det_reward,fresh_raw_det_reward,prior_guarded_reward,fresh_guarded_reward,prior_semantic_guarded_reward,fresh_semantic_guarded_reward,prior_issues,fresh_issues,prior_semantic_gate_issues,fresh_semantic_gate_issues,prior_semantic_review_issues,fresh_semantic_review_issues,prior_requires,fresh_requires,prior_ensures,fresh_ensures,prior_rationale,fresh_rationale,prior_requires_source_fidelity_classification,fresh_requires_source_fidelity_classification,prior_requires_source_fidelity_rationale,fresh_requires_source_fidelity_rationale,prior_requires_source_reference,fresh_requires_source_reference,prior_requires_source_excerpt,fresh_requires_source_excerpt,prior_contract_code,fresh_contract_code
core::array::repeat,add_spec->skip,data_structure,data_structure,,,2,1,add_spec,skip,add_spec,skip,assume_specification,assume_specification,True,False,ok,,unsat,,complete,,1,0,1,0,0,0,,clone_semantics_unmodeled,clone_behavior_domain_strengthening,,,,"N > 1 ==> (forall|x: T| strictly_cloned::<T>(val, x) ==> x == val)",,forall|i: int| i >= 0 && N > i ==> result@[i] == val,,"For N at most one, no clone result appears. For larger arrays, the source uses the original value once and N - 1 clone results; the precondition requires every permitted clone result of val to equal val, so every returned element equals val.","For arbitrary T: Clone, Rust does not guarantee that cloning preserves Verus equality or any public semantic view. The supplied implementation only establishes that the array is populated through repeated Clone operations; without a public clone-result relation, no useful sound postcondition is expressible.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<T: core::clone::Clone, const N: usize>[ core::array::repeat::<T, N> ](val: T) -> (result: [T; N])
    requires
        N > 1 ==> (forall|x: T| strictly_cloned::<T>(val, x) ==> x == val),
    ensures
        forall|i: int| i >= 0 && N > i ==> result@[i] == val,
;",
core::cell::UnsafeCell::raw_get,add_spec->skip,data_structure,data_structure,,,2,2,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,verus_error,,,,,,0,0,0,0,0,0,checker_status:verus_error;classification:unsafe_or_representation_sensitive;trivial_equal_fn,classification:unsafe_or_representation_sensitive;determinism_unsupported_contract_form,,,,,,,ptr@.addr == this@.addr; ptr@.provenance == this@.provenance; ptr@.metadata == this@.metadata,,"An opaque external type declaration makes UnsafeCell admissible without exposing its contents. The implementation's transparent pointer casts preserve address, provenance, and metadata for every raw pointer, including null or dangling pointers.","UnsafeCell<T> is unsupported by existing vstd modeling, so an ordinary contract for this declaration does not typecheck. Adding an external type specification solely for this method would enlarge the trusted surface, while address and provenance preservation alone would still omit wide-pointer metadata and would not fully characterize the returned pointer.",,not_applicable,,No requires clause is present.,,,,,"#[verifier::reject_recursive_types(T)]
#[verifier::external_body]
#[verifier::external_type_specification]
pub struct ExUnsafeCell<T>(std::cell::UnsafeCell<T>)
where
    T: std::marker::MetaSized + ?Sized,
;

pub assume_specification<T: ?Sized>[ core::cell::UnsafeCell::<T>::raw_get ](
    this: *const core::cell::UnsafeCell<T>,
) -> (ptr: *mut T)
    ensures
        ptr@.addr == this@.addr,
        ptr@.provenance == this@.provenance,
        ptr@.metadata == this@.metadata,
;",
core::cmp::Ordering::then_with,add_spec->skip,data_structure,data_structure,,,2,2,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unknown,,ok_inconclusive,,0,0,0,0,0,0,classification:higher_order_contract;determinism_not_proved:unknown;structured_contract_mismatch,classification:higher_order_contract;determinism_unsupported_contract_form,,,,,ordering == core::cmp::Ordering::Equal ==> f.requires(()),,"ordering == core::cmp::Ordering::Equal ==> f.ensures((), result); ordering != core::cmp::Ordering::Ordering::Equal ==> result == ordering",,The implementation invokes the closure only for Equal and otherwise returns self. Moving the FnOnce bound into a where-clause preserves the signature while avoiding the runner's angle-bracket parsing ambiguity.,"The Equal branch's observable result is produced by an arbitrary FnOnce closure. Existing vstd vocabulary can describe it only through call_requires/call_ensures, whose relation is not necessarily deterministic. No useful ordinary, source-justified contract can characterize that branch without relying on this inconclusive higher-order relation.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<F>[ core::cmp::Ordering::then_with ](
    ordering: core::cmp::Ordering,
    f: F,
) -> (result: core::cmp::Ordering)
where
    F: FnOnce() -> core::cmp::Ordering,
    requires
        ordering == core::cmp::Ordering::Equal ==> f.requires(()),
    ensures
        ordering == core::cmp::Ordering::Equal ==> f.ensures((), result),
        ordering != core::cmp::Ordering::Equal ==> result == ordering,
;",
core::cmp::max_by,add_spec->skip,data_structure,data_structure,,,2,2,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unsat,,complete,,1,0,0,0,0,0,classification:higher_order_contract,classification:higher_order_contract;determinism_unsupported_contract_form,,,,,"compare.requires((&v1, &v2)); forall|ordering1: core::cmp::Ordering, ordering2: core::cmp::Ordering| #![trigger compare.ensures((&v1, &v2), ordering1), compare.ensures((&v1, &v2), ordering2)] compare.ensures((&v1, &v2), ordering1) && compare.ensures((&v1, &v2), ordering2) ==> (ordering1 == core::cmp::Ordering::Greater <==> ordering2 == core::cmp::Ordering::Greater)",,"exists|ordering: core::cmp::Ordering| { &&& #[trigger] compare.ensures((&v1, &v2), ordering) &&& result == if ordering == core::cmp::Ordering::Greater { v1 } else { v2 } }",,"The source calls the comparator once and returns v1 exactly for Greater. The additional requirement minimally ensures that all comparator outcomes admitted for these arguments agree on that observed branch, without requiring Less and Equal to be distinguished.","A useful contract must relate the result to the comparator invocation. In existing vstd vocabulary this requires a higher-order FnOnce requires/ensures contract whose relational postcondition does not establish a unique Ordering, so the selected return value is not deterministic. A weaker result-only contract would omit the defining comparison semantics.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<T, F>[ core::cmp::max_by ](
    v1: T,
    v2: T,
    compare: F,
) -> (result: T)
where
    F: FnOnce(&T, &T) -> core::cmp::Ordering,
    requires
        compare.requires((&v1, &v2)),
        forall|ordering1: core::cmp::Ordering, ordering2: core::cmp::Ordering|
            #![trigger compare.ensures((&v1, &v2), ordering1),
                       compare.ensures((&v1, &v2), ordering2)]
            compare.ensures((&v1, &v2), ordering1)
                && compare.ensures((&v1, &v2), ordering2)
                ==> (ordering1 == core::cmp::Ordering::Greater
                    <==> ordering2 == core::cmp::Ordering::Greater),
    ensures
        exists|ordering: core::cmp::Ordering| {
            &&& #[trigger] compare.ensures((&v1, &v2), ordering)
            &&& result == if ordering == core::cmp::Ordering::Greater { v1 } else { v2 }
        },
;",
core::cmp::max_by_key,add_spec->skip,data_structure,data_structure,,,2,2,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unsat,,complete,,1,0,0,0,0,0,classification:higher_order_contract,classification:higher_order_contract;determinism_unsupported_contract_form,,,,,"K::obeys_partial_cmp_spec(); f.requires((&v2,)); f.requires((&v1,)); forall|key2a: K, key2b: K| #![trigger f.ensures((&v2,), key2a), f.ensures((&v2,), key2b)] f.ensures((&v2,), key2a) && f.ensures((&v2,), key2b) ==> key2a == key2b; forall|key1a: K, key1b: K| #![trigger f.ensures((&v1,), key1a), f.ensures((&v1,), key1b)] f.ensures((&v1,), key1a) && f.ensures((&v1,), key1b) ==> key1a == key1b",,"exists|key2: K| { &&& #[trigger] f.ensures((&v2,), key2) &&& exists|key1: K| { &&& #[trigger] f.ensures((&v1,), key1) &&& result == if key2.partial_cmp_spec(&key1) == Some(core::cmp::Ordering::Less) { v1 } else { v2 } } }",,"The source evaluates f(&v2) and then f(&v1), returning v1 exactly when the first key is less. The PartialOrdSpec law connects runtime comparison to partial_cmp_spec, while single-valued callback relations make the observable result deterministic.","A useful source-justified contract must model two sequential calls to the stateful FnMut closure—first on v2, then on v1—and the subsequent Ord comparison. Existing vstd closure vocabulary does not expose the intermediate closure state needed to connect these calls soundly. Independent existential call_ensures facts may admit inconsistent keys and a nondeterministic result, while merely stating that the result is v1 or v2 omits the defining comparison semantics.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<T, F, K>[ core::cmp::max_by_key ](
    v1: T,
    v2: T,
    f: F,
) -> (result: T)
where
    F: FnMut(&T) -> K,
    K: core::cmp::Ord,
    requires
        K::obeys_partial_cmp_spec(),
        f.requires((&v2,)),
        f.requires((&v1,)),
        forall|key2a: K, key2b: K|
            #![trigger f.ensures((&v2,), key2a), f.ensures((&v2,), key2b)]
            f.ensures((&v2,), key2a)
                && f.ensures((&v2,), key2b)
                ==> key2a == key2b,
        forall|key1a: K, key1b: K|
            #![trigger f.ensures((&v1,), key1a), f.ensures((&v1,), key1b)]
            f.ensures((&v1,), key1a)
                && f.ensures((&v1,), key1b)
                ==> key1a == key1b,
    ensures
        exists|key2: K| {
            &&& #[trigger] f.ensures((&v2,), key2)
            &&& exists|key1: K| {
                &&& #[trigger] f.ensures((&v1,), key1)
                &&& result == if key2.partial_cmp_spec(&key1)
                    == Some(core::cmp::Ordering::Less)
                {
                    v1
                } else {
                    v2
                }
            }
        },
;",
core::cmp::min_by,add_spec->skip,data_structure,data_structure,,,2,3,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unsat,,complete,,1,0,0,0,0,0,classification:higher_order_contract,classification:higher_order_contract;determinism_unsupported_contract_form,,,,,"compare.requires((&v1, &v2)); forall|ordering1: core::cmp::Ordering, ordering2: core::cmp::Ordering| #![trigger compare.ensures((&v1, &v2), ordering1), compare.ensures((&v1, &v2), ordering2)] compare.ensures((&v1, &v2), ordering1) && compare.ensures((&v1, &v2), ordering2) ==> (ordering1 == core::cmp::Ordering::Greater <==> ordering2 == core::cmp::Ordering::Greater)",,"exists|ordering: core::cmp::Ordering| { &&& #[trigger] compare.ensures((&v1, &v2), ordering) &&& result == if ordering == core::cmp::Ordering::Greater { v2 } else { v1 } }",,The source calls the comparator once and returns v2 exactly for Greater. The additional requirement minimally ensures that all comparator outcomes admitted for these arguments agree on that observed branch.,"The return value depends on invoking the caller-provided comparator. Existing vstd vocabulary cannot express a deterministic, source-justified ordinary contract for this choice without relying on higher-order FnOnce requires/ensures predicates. The comparator-independent guarantee that the result is either v1 or v2 is nondeterministic and too weak.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<T, F>[ core::cmp::min_by ](
    v1: T,
    v2: T,
    compare: F,
) -> (result: T)
where
    F: FnOnce(&T, &T) -> core::cmp::Ordering,
    requires
        compare.requires((&v1, &v2)),
        forall|ordering1: core::cmp::Ordering, ordering2: core::cmp::Ordering|
            #![trigger compare.ensures((&v1, &v2), ordering1),
                       compare.ensures((&v1, &v2), ordering2)]
            compare.ensures((&v1, &v2), ordering1)
                && compare.ensures((&v1, &v2), ordering2)
                ==> (ordering1 == core::cmp::Ordering::Greater
                    <==> ordering2 == core::cmp::Ordering::Greater),
    ensures
        exists|ordering: core::cmp::Ordering| {
            &&& #[trigger] compare.ensures((&v1, &v2), ordering)
            &&& result == if ordering == core::cmp::Ordering::Greater { v2 } else { v1 }
        },
;",
core::cmp::min_by_key,add_spec->skip,data_structure,data_structure,,,2,3,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unsat,,complete,,1,0,0,0,0,0,classification:higher_order_contract,classification:higher_order_contract;determinism_unsupported_contract_form,,,,,"K::obeys_partial_cmp_spec(); f.requires((&v2,)); f.requires((&v1,)); forall|key2a: K, key1a: K, key2b: K, key1b: K| #![trigger f.ensures((&v2,), key2a), f.ensures((&v1,), key1a), f.ensures((&v2,), key2b), f.ensures((&v1,), key1b)] f.ensures((&v2,), key2a) && f.ensures((&v1,), key1a) && f.ensures((&v2,), key2b) && f.ensures((&v1,), key1b) ==> (key2a.partial_cmp_spec(&key1a) == Some(core::cmp::Ordering::Less) <==> key2b.partial_cmp_spec(&key1b) == Some(core::cmp::Ordering::Less))",,"exists|key2: K| { &&& #[trigger] f.ensures((&v2,), key2) &&& exists|key1: K| { &&& #[trigger] f.ensures((&v1,), key1) &&& result == if key2.partial_cmp_spec(&key1) == Some(core::cmp::Ordering::Less) { v2 } else { v1 } } }",,"The source evaluates f(&v2) and then f(&v1), returning v2 exactly when its key is less. PartialOrdSpec connects the runtime comparison to partial_cmp_spec, while the branch-consistency requirement permits non-single-valued key relations provided every admitted key pair selects the same observable result.","The result depends on two ordered calls to an FnMut closure. Existing vstd call_requires/call_ensures vocabulary does not model the closure-state transition between those calls, so the proposed existential keys are not deterministically tied to the actual sequential execution. No useful ordinary, source-justified contract is available.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<T, F, K>[ core::cmp::min_by_key ](
    v1: T,
    v2: T,
    f: F,
) -> (result: T)
where
    F: FnMut(&T) -> K,
    K: core::cmp::Ord,
    requires
        K::obeys_partial_cmp_spec(),
        f.requires((&v2,)),
        f.requires((&v1,)),
        forall|key2a: K, key1a: K, key2b: K, key1b: K|
            #![trigger
                f.ensures((&v2,), key2a),
                f.ensures((&v1,), key1a),
                f.ensures((&v2,), key2b),
                f.ensures((&v1,), key1b)
            ]
            f.ensures((&v2,), key2a)
                && f.ensures((&v1,), key1a)
                && f.ensures((&v2,), key2b)
                && f.ensures((&v1,), key1b)
                ==> (
                    key2a.partial_cmp_spec(&key1a)
                        == Some(core::cmp::Ordering::Less)
                    <==>
                    key2b.partial_cmp_spec(&key1b)
                        == Some(core::cmp::Ordering::Less)
                ),
    ensures
        exists|key2: K| {
            &&& #[trigger] f.ensures((&v2,), key2)
            &&& exists|key1: K| {
                &&& #[trigger] f.ensures((&v1,), key1)
                &&& result == if key2.partial_cmp_spec(&key1)
                    == Some(core::cmp::Ordering::Less)
                {
                    v2
                } else {
                    v1
                }
            }
        },
;",
core::fmt::Result::or_else,add_spec->skip,formatting,formatting,,,2,2,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unknown,,ok_inconclusive,,0,0,0,0,0,0,classification:formatting_effect;determinism_not_proved:unknown,classification:formatting_effect;determinism_unsupported_contract_form,,,,,"result is Err ==> op.requires((result->Err_0,))",,"result is Ok ==> out == Result::<T, F>::Ok(result->Ok_0); result is Err ==> op.ensures((result->Err_0,), out)",,The source behavior is expressible using FnOnce requires/ensures. Moving the function-trait bound into a where clause avoids misparsing the return arrow as the end of the generic parameter list.,"Although the resolved implementation preserves Ok and invokes op on Err, core::fmt::Result::or_else may execute a formatting-effectful FnOnce. Existing vstd vocabulary exposes only the closure's abstract requires/ensures relation and cannot model its captured formatting-state transition or prove a deterministic observable result. Strengthening the domain to require a functional postcondition would impose an artificial restriction not present in the Rust API.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<T, E, F, O>[Result::<T, E>::or_else](
    result: Result<T, E>,
    op: O,
) -> (out: Result<T, F>)
where
    O: FnOnce(E) -> Result<T, F>,
    requires
        result is Err ==> op.requires((result->Err_0,)),
    ensures
        result is Ok ==> out == Result::<T, F>::Ok(result->Ok_0),
        result is Err ==> op.ensures((result->Err_0,), out),
;",
core::fmt::Result::unwrap_or_else,add_spec->skip,formatting,formatting,,,2,1,add_spec,skip,add_spec,skip,assume_specification,assume_specification,True,False,ok,,unknown,,ok_inconclusive,,0,0,0,0,0,0,classification:formatting_effect;determinism_not_proved:unknown,classification:formatting_effect,,,,,"result is Err ==> op.requires((result->Err_0,))",,"result is Ok ==> res == result->Ok_0; result is Err ==> op.ensures((result->Err_0,), res)",,The implementation returns the Ok payload unchanged and invokes the closure only for Err. Placing the FnOnce bound in a where clause preserves the signature while avoiding the runner's angle-bracket parsing ambiguity.,"For core::fmt::Result, the Ok value is unit and the Err branch invokes an arbitrary FnOnce closure. Without a public specification for that closure’s behavior or formatting state, no useful non-vacuous result relation is expressible.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<T, E, F>[ Result::<T, E>::unwrap_or_else ](
    result: Result<T, E>,
    op: F,
) -> (res: T)
    where
        F: FnOnce(E) -> T,
    requires
        result is Err ==> op.requires((result->Err_0,)),
    ensures
        result is Ok ==> res == result->Ok_0,
        result is Err ==> op.ensures((result->Err_0,), res),
;",
core::iter::Iterator::max,add_spec->skip,trait_method,trait_method,,,2,2,add_spec,add_spec,add_spec,skip,external_trait_specification,None,True,False,,,,,,,0,0,0,0,0,0,classification:trait_contract_integration;determinism_unsupported_contract_form,classification:trait_contract_integration;determinism_unsupported_contract_form,,,,,<Self::Item as OrdSpec>::obeys_cmp_spec(),,"{ let s = into_iter_remaining::<Self::Item, Self>(self); r == if s.len() == 0 { None } else { Some(s.drop_first().fold_left(s[0], |x: Self::Item, y: Self::Item| if <Self::Item as OrdSpec>::cmp_spec(&x, &y) == Ordering::Greater { x } else { y })) } }",,The default implementation delegates to max_by(Ord::cmp). The public into_iter_remaining model and OrdSpec express its left fold and documented last-on-equal behavior without requiring IteratorSpec as an invalid proxy supertrait.,"Iterator::max is an associated trait method. The available contract harness cannot place an external specification inside the required trait context, so `self` and `Self::Item` are invalid and the proposal cannot typecheck. Recasting it as an ordinary free function would not attach the contract to the target API. Skip until external trait-method specifications are supported.",,not_applicable,,No requires clause is present.,,,,,"#[verifier::external_trait_specification]
pub trait ExIteratorMax {
    type ExternalTraitSpecificationFor: core::iter::Iterator;
    type Item;

    fn max(self) -> (r: Option<Self::Item>)
    where
        Self: Sized,
        Self::Item: Ord,
    requires
        <Self::Item as OrdSpec>::obeys_cmp_spec(),
    default_ensures
        {
            let s = into_iter_remaining::<Self::Item, Self>(self);
            r == if s.len() == 0 {
                None
            } else {
                Some(s.drop_first().fold_left(
                    s[0],
                    |x: Self::Item, y: Self::Item| if <Self::Item as OrdSpec>::cmp_spec(&x, &y) == Ordering::Greater { x } else { y },
                ))
            }
        },
    ;
}",
core::ops::Bound::cloned,add_spec->skip,other,other,,,2,2,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unknown,,ok_inconclusive,,0,0,0,0,0,0,classification:needs_new_vstd_abstraction;determinism_not_proved:unknown,classification:needs_new_vstd_abstraction;determinism_unsupported_contract_form,,,,,,,"spec_bound(bound) is Unbounded ==> spec_bound(result) is Unbounded; spec_bound(bound) is Included ==> spec_bound(result) is Included && cloned::<T>(*(spec_bound(bound)->Included_0), spec_bound(result)->Included_0); spec_bound(bound) is Excluded ==> spec_bound(result) is Excluded && cloned::<T>(*(spec_bound(bound)->Excluded_0), spec_bound(result)->Excluded_0)",,"The repeated Clone bound preserves both the impl-level and method-level bounds required by signature matching. spec_bound exposes the variant and payload, while cloned models the delegated Clone call without imposing an artificial determinism precondition.","Existing vstd vocabulary cannot express the semantic relation between an arbitrary value and the result of its Clone implementation. Variant preservation alone leaves payload-bearing results underdetermined, so it is not a useful ordinary contract. A specification requires a new abstraction for Clone semantics.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<'a, T: Clone + Clone>[ Bound::<&'a T>::cloned ](
    bound: Bound<&'a T>,
) -> (result: Bound<T>)
    ensures
        spec_bound(bound) is Unbounded ==> spec_bound(result) is Unbounded,
        spec_bound(bound) is Included ==> spec_bound(result) is Included
            && cloned::<T>(*(spec_bound(bound)->Included_0), spec_bound(result)->Included_0),
        spec_bound(bound) is Excluded ==> spec_bound(result) is Excluded
            && cloned::<T>(*(spec_bound(bound)->Excluded_0), spec_bound(result)->Excluded_0),
;",
core::ops::Bound::map,add_spec->skip,other,other,,,2,1,add_spec,skip,add_spec,skip,assume_specification,assume_specification,True,False,ok,,unsat,,complete,,1,0,0,0,0,0,classification:higher_order_contract,classification:higher_order_contract;higher_order_closure_result_underdetermined,,,,,"spec_bound(bound) is Included ==> f.requires((spec_bound(bound)->Included_0,)); spec_bound(bound) is Excluded ==> f.requires((spec_bound(bound)->Excluded_0,)); spec_bound(bound) is Included ==> forall|u1: U, u2: U| #![trigger f.ensures((spec_bound(bound)->Included_0,), u1), f.ensures((spec_bound(bound)->Included_0,), u2)] f.ensures((spec_bound(bound)->Included_0,), u1) && f.ensures((spec_bound(bound)->Included_0,), u2) ==> u1 == u2; spec_bound(bound) is Excluded ==> forall|u1: U, u2: U| #![trigger f.ensures((spec_bound(bound)->Excluded_0,), u1), f.ensures((spec_bound(bound)->Excluded_0,), u2)] f.ensures((spec_bound(bound)->Excluded_0,), u1) && f.ensures((spec_bound(bound)->Excluded_0,), u2) ==> u1 == u2",,"spec_bound(bound) is Unbounded ==> spec_bound(result) is Unbounded; spec_bound(bound) is Included ==> spec_bound(result) is Included && f.ensures((spec_bound(bound)->Included_0,), spec_bound(result)->Included_0); spec_bound(bound) is Excluded ==> spec_bound(result) is Excluded && f.ensures((spec_bound(bound)->Excluded_0,), spec_bound(result)->Excluded_0)",,The source preserves the Bound variant and invokes f exactly once only for Included or Excluded. Moving the FnOnce bound to a where clause avoids the runner's generic-arrow parsing ambiguity; requiring the active call relation to be single-valued makes the modeled mapped value deterministic.,"Rust 1.96 implements Bound::map by preserving the Bound variant and calling an arbitrary `F: FnOnce(T) -> U` on the contained payload for `Included` and `Excluded`. Current vstd vocabulary has no public model for the consumed closure observation or its returned `U`, so a variant-only or constructor-shaped contract leaves the mapped payload underdetermined. This source-backed row is skipped rather than emitted as an underdetermined assume_specification.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<T, U, F>[ core::ops::Bound::<T>::map ](
    bound: core::ops::Bound<T>,
    f: F,
) -> (result: core::ops::Bound<U>)
where
    F: FnOnce(T) -> U,
    requires
        spec_bound(bound) is Included ==> f.requires((spec_bound(bound)->Included_0,)),
        spec_bound(bound) is Excluded ==> f.requires((spec_bound(bound)->Excluded_0,)),
        spec_bound(bound) is Included ==> forall|u1: U, u2: U|
            #![trigger f.ensures((spec_bound(bound)->Included_0,), u1),
                       f.ensures((spec_bound(bound)->Included_0,), u2)]
            f.ensures((spec_bound(bound)->Included_0,), u1)
                && f.ensures((spec_bound(bound)->Included_0,), u2)
                ==> u1 == u2,
        spec_bound(bound) is Excluded ==> forall|u1: U, u2: U|
            #![trigger f.ensures((spec_bound(bound)->Excluded_0,), u1),
                       f.ensures((spec_bound(bound)->Excluded_0,), u2)]
            f.ensures((spec_bound(bound)->Excluded_0,), u1)
                && f.ensures((spec_bound(bound)->Excluded_0,), u2)
                ==> u1 == u2,
    ensures
        spec_bound(bound) is Unbounded ==> spec_bound(result) is Unbounded,
        spec_bound(bound) is Included ==> spec_bound(result) is Included && f.ensures(
            (spec_bound(bound)->Included_0,),
            spec_bound(result)->Included_0
        ),
        spec_bound(bound) is Excluded ==> spec_bound(result) is Excluded && f.ensures(
            (spec_bound(bound)->Excluded_0,),
            spec_bound(result)->Excluded_0
        ),
;",
core::ops::ControlFlow::continue_ok,add_spec->skip,other,other,,,2,2,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unsat,,complete,,1,0,0,0,0,0,classification:needs_new_vstd_abstraction,duplicate_vstd_assume_specification,,,,,,,"result == match flow { ControlFlow::Continue(c) => Ok(c), ControlFlow::Break(b) => Err(b), }",,"Existing vstd structurally models ControlFlow, and the source exactly converts Continue(c) to Ok(c) and Break(b) to Err(b) without unwinding.",The existing vstd specification for ControlFlow::continue_ok already covers this API. Adding another assume_specification is rejected as a duplicate.,,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<B, C>[ ControlFlow::<B, C>::continue_ok ](
    flow: ControlFlow<B, C>,
) -> (result: Result<C, B>)
    ensures
        result == match flow {
            ControlFlow::Continue(c) => Ok(c),
            ControlFlow::Break(b) => Err(b),
        },
    no_unwind
;",
core::ops::ControlFlow::map_break,add_spec->skip,other,other,,,2,3,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unknown,,ok_inconclusive,,0,0,0,0,0,0,classification:higher_order_contract;determinism_not_proved:unknown,classification:higher_order_contract;determinism_unsupported_contract_form,,,,,"match flow { ControlFlow::Break(b) => f.requires((b,)), ControlFlow::Continue(_) => true, }",,"match flow { ControlFlow::Continue(c) => res == ControlFlow::Continue(c), ControlFlow::Break(b) => match res { ControlFlow::Break(t) => f.ensures((b,), t), ControlFlow::Continue(_) => false, }, }",,Constructor pattern matching exposes the payloads without unsupported enum projections. The source preserves Continue values and applies f exactly once to Break values.,"map_break is higher-order: its Break result depends on invoking an arbitrary FnOnce. Existing vstd vocabulary can relate the result only through the closure's relational ensures clause, which does not establish a deterministic observable output. Strengthening that relation would be unjustified by the source, so no useful ordinary trusted contract is available.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<B, C, T, F>[ ControlFlow::<B, C>::map_break ](
    flow: ControlFlow<B, C>,
    f: F,
) -> (res: ControlFlow<T, C>)
where
    F: FnOnce(B) -> T,
    requires
        match flow {
            ControlFlow::Break(b) => f.requires((b,)),
            ControlFlow::Continue(_) => true,
        },
    ensures
        match flow {
            ControlFlow::Continue(c) => res == ControlFlow::Continue(c),
            ControlFlow::Break(b) => match res {
                ControlFlow::Break(t) => f.ensures((b,), t),
                ControlFlow::Continue(_) => false,
            },
        },
;",
core::ops::ControlFlow::map_continue,add_spec->skip,other,other,,,2,3,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unknown,,ok_inconclusive,,0,0,0,0,0,0,classification:higher_order_contract;determinism_not_proved:unknown,classification:higher_order_contract;determinism_unsupported_contract_form,,,,,"match flow { ControlFlow::Continue(c) => f.requires((c,)), ControlFlow::Break(_) => true, }",,"match flow { ControlFlow::Break(b) => res == ControlFlow::Break(b), ControlFlow::Continue(c) => match res { ControlFlow::Continue(t) => f.ensures((c,), t), ControlFlow::Break(_) => false, }, }",,Constructor pattern matching exposes payloads without unsupported enum projections. The source preserves Break values and applies f exactly once to Continue values.,"The result depends on an arbitrary FnOnce output. Existing vstd vocabulary can relate that output through f.ensures, but cannot establish an ordinary deterministic contract without adding an unjustified functionality assumption about the closure.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<B, C, T, F>[ ControlFlow::<B, C>::map_continue ](
    flow: ControlFlow<B, C>,
    f: F,
) -> (res: ControlFlow<B, T>)
where
    F: FnOnce(C) -> T,
    requires
        match flow {
            ControlFlow::Continue(c) => f.requires((c,)),
            ControlFlow::Break(_) => true,
        },
    ensures
        match flow {
            ControlFlow::Break(b) => res == ControlFlow::Break(b),
            ControlFlow::Continue(c) => match res {
                ControlFlow::Continue(t) => f.ensures((c,), t),
                ControlFlow::Break(_) => false,
            },
        },
;",
core::ops::RangeFrom::contains,add_spec->skip,other,other,,,2,1,add_spec,skip,add_spec,skip,assume_specification,assume_specification,True,False,ok,,unsat,,complete,,1,0,0,0,0,0,classification:needs_new_vstd_abstraction,classification:needs_new_vstd_abstraction,,,,,<Idx as PartialOrdSpec<U>>::obeys_partial_cmp_spec(),,result == range.start.is_le(item),,"RangeFrom supplies an included start and an unbounded end, so containment is exactly start <= item. Requiring the existing PartialOrdSpec law makes the Boolean result fully specified.","The implementation delegates to RangeBounds::contains, but no existing public vstd abstraction is supplied for heterogeneous PartialOrd comparisons. Expressing membership directly would require inventing unsupported comparison semantics, especially for partial orders such as NaN.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<Idx: PartialOrd<Idx>, U>[ RangeFrom::<Idx>::contains ](
    range: &RangeFrom<Idx>,
    item: &U,
) -> (result: bool) where Idx: PartialOrd<U>, U: ?Sized + PartialOrd<Idx>
    requires
        <Idx as PartialOrdSpec<U>>::obeys_partial_cmp_spec(),
    ensures
        result == range.start.is_le(item),
;",
