target,status,binding_count,binding,binding_name,binding_owner,binding_module,matched_expected_source,matched_expected_owner,matched_expected_module,error
core::option::Option::replace,ok,1,core::option::Option::<T>::replace,replace,Option,core::option,manifest target method path,Option,core::option,
core::option::Option::transpose,ok,1,"Option::<Result<T,E>>::transpose",transpose,Option,,manifest target method path,Option,core::option,
core::option::Option::unzip,ok,1,"core::option::Option::<(T,U)>::unzip",unzip,Option,core::option,manifest target method path,Option,core::option,
core::option::Option::xor,ok,1,Option::<T>::xor,xor,Option,,manifest target method path,Option,core::option,
core::option::Option::zip,ok,1,core::option::Option::<T>::zip,zip,Option,core::option,manifest target method path,Option,core::option,
core::result::Result::and,ok,1,"core::result::Result::<T,E>::and",and,Result,core::result,manifest target method path,Result,core::result,
core::result::Result::expect_err,ok,1,"Result::<T,E>::expect_err",expect_err,Result,,manifest target method path,Result,core::result,
core::result::Result::flatten,ok,1,"core::result::Result::<core::result::Result<T,E>,E>::flatten",flatten,Result,core::result,manifest target method path,Result,core::result,
core::result::Result::or,ok,1,"core::result::Result::<T,E>::or",or,Result,core::result,manifest target method path,Result,core::result,
core::result::Result::transpose,ok,1,"core::result::Result::<core::option::Option<T>,E>::transpose",transpose,Result,core::result,manifest target method path,Result,core::result,
core::result::Result::unwrap_or,ok,1,"core::result::Result::<T,E>::unwrap_or",unwrap_or,Result,core::result,manifest target method path,Result,core::result,
core::slice::as_array,ok,1,<[T]>::as_array::<N>,as_array,slice,,manifest declaration receiver,slice,core::slice,
core::slice::as_chunks,ok,1,<[T]>::as_chunks::<N>,as_chunks,slice,,manifest declaration receiver,slice,core::slice,
core::slice::as_chunks_mut,ok,1,<[T]>::as_chunks_mut::<N>,as_chunks_mut,slice,,manifest declaration receiver,slice,core::slice,
core::slice::as_flattened,ok,1,<[[T;N]]>::as_flattened,as_flattened,slice,,manifest declaration receiver,slice,core::slice,
core::slice::as_mut_array,ok,1,<[T]>::as_mut_array::<N>,as_mut_array,slice,,manifest declaration receiver,slice,core::slice,
core::slice::as_rchunks,ok,1,<[T]>::as_rchunks::<N>,as_rchunks,slice,,manifest declaration receiver,slice,core::slice,
core::slice::as_rchunks_mut,ok,1,<[T]>::as_rchunks_mut::<N>,as_rchunks_mut,slice,,manifest declaration receiver,slice,core::slice,
core::slice::binary_search,ok,1,<[T]>::binary_search,binary_search,slice,,manifest declaration receiver,slice,core::slice,
core::slice::contains,ok,1,<[T]>::contains,contains,slice,,manifest declaration receiver,slice,core::slice,
core::slice::eq_ignore_ascii_case,ok,1,<[u8]>::eq_ignore_ascii_case,eq_ignore_ascii_case,slice,,manifest declaration receiver,slice,core::slice,
core::slice::first_chunk,ok,1,<[T]>::first_chunk::<N>,first_chunk,slice,,manifest declaration receiver,slice,core::slice,
core::slice::first_chunk_mut,ok,1,<[T]>::first_chunk_mut::<N>,first_chunk_mut,slice,,manifest declaration receiver,slice,core::slice,
core::slice::from_mut,ok,1,core::slice::from_mut,from_mut,,core::slice,manifest target free_function path,,core::slice,
core::slice::from_ref,ok,1,core::slice::from_ref::<T>,from_ref,,core::slice,manifest target free_function path,,core::slice,
core::slice::is_ascii,ok,1,<[u8]>::is_ascii,is_ascii,slice,,manifest declaration receiver,slice,core::slice,
core::slice::is_sorted,ok,1,<[T]>::is_sorted,is_sorted,slice,,manifest declaration receiver,slice,core::slice,
core::slice::last_chunk,ok,1,<[T]>::last_chunk::<N>,last_chunk,slice,,manifest declaration receiver,slice,core::slice,
core::slice::last_chunk_mut,ok,1,<[T]>::last_chunk_mut::<N>,last_chunk_mut,slice,,manifest declaration receiver,slice,core::slice,
core::slice::reverse,ok,1,<[T]>::reverse,reverse,slice,,manifest declaration receiver,slice,core::slice,
core::slice::split_at_checked,ok,1,<[T]>::split_at_checked,split_at_checked,slice,,manifest declaration receiver,slice,core::slice,
core::slice::split_at_mut_checked,ok,1,<[T]>::split_at_mut_checked,split_at_mut_checked,slice,,manifest declaration receiver,slice,core::slice,
core::slice::split_at_mut_unchecked,ok,1,<[T]>::split_at_mut_unchecked,split_at_mut_unchecked,slice,,manifest declaration receiver,slice,core::slice,
core::slice::split_first,ok,1,<[T]>::split_first,split_first,slice,,manifest declaration receiver,slice,core::slice,
core::slice::split_first_chunk,ok,1,<[T]>::split_first_chunk::<N>,split_first_chunk,slice,,manifest declaration receiver,slice,core::slice,
core::slice::split_first_chunk_mut,ok,1,<[T]>::split_first_chunk_mut::<N>,split_first_chunk_mut,slice,,manifest declaration receiver,slice,core::slice,
core::slice::split_first_mut,ok,1,<[T]>::split_first_mut,split_first_mut,slice,,manifest declaration receiver,slice,core::slice,
core::slice::split_last,ok,1,<[T]>::split_last,split_last,slice,,manifest declaration receiver,slice,core::slice,
core::slice::split_last_chunk,ok,1,<[T]>::split_last_chunk::<N>,split_last_chunk,slice,,manifest declaration receiver,slice,core::slice,
core::slice::split_last_chunk_mut,ok,1,<[T]>::split_last_chunk_mut::<N>,split_last_chunk_mut,slice,,manifest declaration receiver,slice,core::slice,
core::slice::split_last_mut,ok,1,<[T]>::split_last_mut,split_last_mut,slice,,manifest declaration receiver,slice,core::slice,
core::slice::split_off_first,ok,1,<[T]>::split_off_first,split_off_first,slice,,manifest declaration receiver,slice,core::slice,
core::slice::split_off_first_mut,ok,1,<[T]>::split_off_first_mut,split_off_first_mut,slice,,manifest declaration receiver,slice,core::slice,
core::slice::split_off_last_mut,ok,1,<[T]>::split_off_last_mut,split_off_last_mut,slice,,manifest declaration receiver,slice,core::slice,
core::slice::starts_with,ok,1,<[T]>::starts_with,starts_with,slice,,manifest declaration receiver,slice,core::slice,
core::slice::trim_ascii,ok,1,<[u8]>::trim_ascii,trim_ascii,slice,,manifest declaration receiver,slice,core::slice,
core::slice::trim_ascii_end,ok,1,<[u8]>::trim_ascii_end,trim_ascii_end,slice,,manifest declaration receiver,slice,core::slice,
core::slice::trim_ascii_start,ok,1,<[u8]>::trim_ascii_start,trim_ascii_start,slice,,manifest declaration receiver,slice,core::slice,
core::str::ceil_char_boundary,ok,1,str::ceil_char_boundary,ceil_char_boundary,str,,manifest declaration receiver,str,core::str,
core::str::eq_ignore_ascii_case,ok,1,str::eq_ignore_ascii_case,eq_ignore_ascii_case,str,,manifest declaration receiver,str,core::str,
core::str::floor_char_boundary,ok,1,str::floor_char_boundary,floor_char_boundary,str,,manifest declaration receiver,str,core::str,
core::str::from_utf8,ok,1,str::from_utf8,from_utf8,,str,manifest target free_function path,,core::str,
core::str::from_utf8_mut,ok,1,core::str::from_utf8_mut,from_utf8_mut,,core::str,manifest target free_function path,,core::str,
core::str::make_ascii_lowercase,ok,1,str::make_ascii_lowercase,make_ascii_lowercase,str,,manifest declaration receiver,str,core::str,
core::str::make_ascii_uppercase,ok,1,str::make_ascii_uppercase,make_ascii_uppercase,str,,manifest declaration receiver,str,core::str,
core::str::split_at_checked,ok,1,str::split_at_checked,split_at_checked,str,,manifest declaration receiver,str,core::str,
core::str::split_at_mut_checked,ok,1,str::split_at_mut_checked,split_at_mut_checked,str,,manifest declaration receiver,str,core::str,
core::str::trim,ok,1,str::trim,trim,str,,manifest declaration receiver,str,core::str,
core::str::trim_ascii,ok,1,str::trim_ascii,trim_ascii,str,,manifest declaration receiver,str,core::str,
core::str::trim_ascii_end,ok,1,str::trim_ascii_end,trim_ascii_end,str,,manifest declaration receiver,str,core::str,
core::str::trim_ascii_start,ok,1,str::trim_ascii_start,trim_ascii_start,str,,manifest declaration receiver,str,core::str,
core::str::trim_end,ok,1,str::trim_end,trim_end,str,,manifest declaration receiver,str,core::str,
core::str::trim_left,ok,1,str::trim_left,trim_left,str,,manifest declaration receiver,str,core::str,
core::str::trim_right,ok,1,str::trim_right,trim_right,str,,manifest declaration receiver,str,core::str,
core::str::trim_start,ok,1,str::trim_start,trim_start,str,,manifest declaration receiver,str,core::str,
std::collections::HashMap::get_mut,ok,1,"std::collections::HashMap::<Key,Value,S,A>::get_mut::<Q>",get_mut,HashMap,std::collections,manifest target method path,HashMap,std::collections,
std::collections::HashMap::remove_entry,ok,1,"std::collections::HashMap::<Key,Value,S,A>::remove_entry::<Q>",remove_entry,HashMap,std::collections,manifest target method path,HashMap,std::collections,
std::collections::HashSet::is_disjoint,ok,1,"HashSet::<Key,S,A>::is_disjoint",is_disjoint,HashSet,,manifest target method path,HashSet,std::collections,
std::collections::HashSet::is_subset,ok,1,"std::collections::HashSet::<Key,S,A>::is_subset",is_subset,HashSet,std::collections,manifest target method path,HashSet,std::collections,
std::collections::HashSet::is_superset,ok,1,"HashSet::<Key,S,A>::is_superset",is_superset,HashSet,,manifest target method path,HashSet,std::collections,
std::collections::HashSet::replace,ok,1,"HashSet::<Key,S,A>::replace",replace,HashSet,,manifest target method path,HashSet,std::collections,
std::thread::Result::flatten,ok,1,"core::result::Result::<core::result::Result<T,E>,E>::flatten",flatten,Result,core::result,manifest declaration resolved_owner_path,Result,core::result,
