target,status,manifest_declaration,manifest_generic_params,assume_spec_generic_params,generic_param_kinds_match,manifest_const_generics,assume_spec_const_generics,const_generic_match,manifest_trait_bounds,assume_spec_trait_bounds,trait_bounds_match,manifest_where_clause_bounds,assume_spec_where_clause_bounds,where_clause_bounds_satisfied,missing_bounds,extra_bounds,missing_where_clause_bounds,extra_where_clause_bounds,error
alloc::collections::BTreeSet::is_superset,ok,alloc/src/collections/btree/set.rs:765,g0:type:T:owner;g1:type:A:owner,g0:type:Key;g1:type:A,True,,,True,g0:Ord;g1:Allocator;g1:Clone,g0:Ord;g1:Allocator;g1:Clone,True,g0:Ord,g0:Ord,True,,,,,
alloc::collections::BTreeSet::last,ok,alloc/src/collections/btree/set.rs:819,g0:type:T:owner;g1:type:A:owner,lifetime:lifetime:'a;g0:type:T;g1:type:A,True,,,True,g0:Ord;g1:Allocator;g1:Clone,g0:Ord;g1:Allocator;g1:Clone,True,g0:Ord,,True,,,,,
alloc::collections::BTreeSet::pop_first,ok,alloc/src/collections/btree/set.rs:843,g0:type:T:owner;g1:type:A:owner,g0:type:T;g1:type:A,True,,,True,g0:Ord;g1:Allocator;g1:Clone,g0:Ord;g1:Allocator;g1:Clone,True,g0:Ord,,True,,,,,
alloc::collections::BTreeSet::pop_last,ok,alloc/src/collections/btree/set.rs:867,g0:type:T:owner;g1:type:A:owner,g0:type:Key;g1:type:A,True,,,True,g0:Ord;g1:Allocator;g1:Clone,g0:Ord;g1:Allocator;g1:Clone,True,g0:Ord,,True,,,,,
alloc::collections::BTreeSet::replace,ok,alloc/src/collections/btree/set.rs:924,g0:type:T:owner;g1:type:A:owner,g0:type:Key;g1:type:A,True,,,True,g0:Ord;g1:Allocator;g1:Clone,g0:Ord;g1:Allocator;g1:Clone,True,g0:Ord,,True,,,,,
alloc::collections::LinkedList::back_mut,ok,alloc/src/collections/linked_list.rs:824,g0:type:T:owner;g1:type:A:owner,g0:type:T;g1:type:A,True,,,True,g1:Allocator,g1:Allocator,True,,,True,,,,,
alloc::collections::VecDeque::binary_search,ok,alloc/src/collections/vec_deque/mod.rs:3201,g0:type:T:owner;g1:type:A:owner,g0:type:T;g1:type:A,True,,,True,g0:Ord;g1:Allocator,g0:Ord;g1:Allocator,True,g0:Ord,g0:Ord,True,,,,,
alloc::ffi::CString::from_vec_with_nul_unchecked,ok,alloc/src/ffi/c_str.rs:635,,,True,,,True,,,True,,,True,,,,,
alloc::string::String::as_bytes,ok,alloc/src/string.rs:1450,,lifetime:lifetime:'a,True,,,True,,,True,,,True,,,,,
alloc::string::String::clear,ok,alloc/src/string.rs:1941,,,True,,,True,,,True,,,True,,,,,
alloc::string::String::from_utf8_unchecked,ok,alloc/src/string.rs:1018,,,True,,,True,,,True,,,True,,,,,
alloc::string::String::insert,ok,alloc/src/string.rs:1731,,,True,,,True,,,True,,,True,,,,,
alloc::string::String::insert_str,ok,alloc/src/string.rs:1788,,,True,,,True,,,True,,,True,,,,,
alloc::string::String::into_bytes,ok,alloc/src/string.rs:1039,,,True,,,True,,,True,,,True,,,,,
alloc::string::String::is_empty,ok,alloc/src/string.rs:1885,,,True,,,True,,,True,,,True,,,,,
alloc::string::String::len,ok,alloc/src/string.rs:1865,,,True,,,True,,,True,,,True,,,,,
alloc::string::String::pop,ok,alloc/src/string.rs:1502,,,True,,,True,,,True,,,True,,,,,
alloc::string::String::push,ok,alloc/src/string.rs:1421,,,True,,,True,,,True,,,True,,,,,
alloc::string::String::push_str,ok,alloc/src/string.rs:1106,,,True,,,True,,,True,,,True,,,,,
alloc::string::String::remove,ok,alloc/src/string.rs:1535,,,True,,,True,,,True,,,True,,,,,
alloc::string::String::replace_range,ok,alloc/src/string.rs:2080,g0:type:R:declaration,g0:type:R,True,,,True,g0:RangeBounds<primitive:usize>,g0:RangeBounds<primitive:usize>,True,g0:RangeBounds<primitive:usize>,g0:RangeBounds<primitive:usize>,True,,,,,
alloc::string::String::split_off,ok,alloc/src/string.rs:1917,,,True,,,True,,,True,,,True,,,,,
alloc::string::String::truncate,ok,alloc/src/string.rs:1478,,,True,,,True,,,True,,,True,,,,,
alloc::vec::Vec::dedup,ok,alloc/src/vec/mod.rs:3704,g0:type:T:owner;g1:type:A:owner,g0:type:T;g1:type:A,True,,,True,g0:PartialEq;g1:Allocator,g0:PartialEq;g1:Allocator,True,,,True,,,,,
alloc::vec::Vec::into_boxed_slice,ok,alloc/src/vec/mod.rs:1731,g0:type:T:owner;g1:type:A:owner,g0:type:T;g1:type:A,True,,,True,g1:Allocator,g1:Allocator,True,,,True,,,,,
alloc::vec::Vec::into_flattened,ok,alloc/src/vec/mod.rs:3633,g0:type:T:owner;g1:type:A:owner;g2:const:N:primitive:usize:owner,g0:type:T;g1:type:A;g2:const:N:primitive:usize,True,g2:N:primitive:usize,g2:N:primitive:usize,True,g1:Allocator,g1:Allocator,True,,,True,,,,,
core::array::as_mut_slice,ok,core/src/array/mod.rs:658,g0:type:T:owner;g1:const:N:primitive:usize:owner,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::array::each_mut,ok,core/src/array/mod.rs:719,g0:type:T:owner;g1:const:N:primitive:usize:owner,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::array::each_ref,ok,core/src/array/mod.rs:688,g0:type:T:owner;g1:const:N:primitive:usize:owner,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::array::from_mut,ok,core/src/array/mod.rs:175,g0:type:T:declaration,g0:type:T,True,,,True,,,True,,,True,,,,,
core::array::from_ref,ok,core/src/array/mod.rs:167,g0:type:T:declaration,g0:type:T,True,,,True,,,True,,,True,,,,,
core::cmp::max,ok,core/src/cmp.rs:1681,g0:type:T:declaration,g0:type:T,True,,,True,g0:Ord,g0:Ord,True,,,True,,,,,
core::cmp::min,ok,core/src/cmp.rs:1574,g0:type:T:declaration,g0:type:T,True,,,True,g0:Ord,g0:Ord,True,,,True,,,,,
core::convert::identity,ok,core/src/convert/mod.rs:106,g0:type:T:declaration,g0:type:T,True,,,True,,,True,,,True,,,,,
core::hint::black_box,ok,core/src/hint.rs:490,g0:type:T:declaration,g0:type:T,True,,,True,,,True,,,True,,,,,
core::hint::select_unpredictable,ok,core/src/hint.rs:832,g0:type:T:declaration,g0:type:T,True,,,True,,,True,,,True,,,,,
core::mem::min_align_of,ok,core/src/mem/mod.rs:489,g0:type:T:declaration,g0:type:T,True,,,True,,,True,,,True,,,,,
core::mem::min_align_of_val,ok,core/src/mem/mod.rs:512,g0:type:T:declaration,g0:type:T,True,,,True,g0:?Sized,g0:?Sized,True,,,True,,,,,
core::mem::replace,ok,core/src/mem/mod.rs:954,g0:type:T:declaration,g0:type:T,True,,,True,,,True,,,True,,,,,
core::ops::Range::is_empty,ok,core/src/ops/range.rs:151,g0:type:Idx:owner,g0:type:Idx,True,,,True,g0:PartialOrd<g0>,g0:PartialOrd<g0>,True,g0:PartialOrd<g0>,g0:PartialOrd<g0>,True,,,,,
core::ops::RangeInclusive::into_inner,ok,core/src/ops/range.rs:457,g0:type:Idx:owner,g0:type:Idx,True,,,True,,,True,,,True,,,,,
core::ops::RangeInclusive::is_empty,ok,core/src/ops/range.rs:559,g0:type:Idx:owner,g0:type:Idx,True,,,True,g0:PartialOrd;g0:PartialOrd<g0>,g0:PartialOrd;g0:PartialOrd<g0>,True,g0:PartialOrd,g0:PartialOrd,True,,,,,
core::option::Option::and,ok,core/src/option.rs:1493,g0:type:T:owner;g1:type:U:declaration,g0:type:T;g1:type:U,True,,,True,,,True,,,True,,,,,
core::option::Option::flatten,ok,core/src/option.rs:2937,g0:type:T:owner,g0:type:T,True,,,True,,,True,,,True,,,,,
core::option::Option::or,ok,core/src/option.rs:1617,g0:type:T:owner,g0:type:T,True,,,True,,,True,,,True,,,,,
core::option::Option::replace,ok,core/src/option.rs:1958,g0:type:T:owner,g0:type:T,True,,,True,,,True,,,True,,,,,
core::option::Option::transpose,ok,core/src/option.rs:2237,g0:type:T:owner;g1:type:E:owner,g0:type:T;g1:type:E,True,,,True,,,True,,,True,,,,,
core::option::Option::unzip,ok,core/src/option.rs:2110,g0:type:T:owner;g1:type:U:owner,g0:type:T;g1:type:U,True,,,True,,,True,,,True,,,,,
core::option::Option::xor,ok,core/src/option.rs:1680,g0:type:T:owner,g0:type:T,True,,,True,,,True,,,True,,,,,
core::option::Option::zip,ok,core/src/option.rs:1979,g0:type:T:owner;g1:type:U:declaration,g0:type:T;g1:type:U,True,,,True,,,True,,,True,,,,,
core::result::Result::and,ok,core/src/result.rs:1440,g0:type:T:owner;g1:type:E:owner;g2:type:U:declaration,g0:type:T;g1:type:E;g2:type:U,True,,,True,,,True,,,True,,,,,
core::result::Result::expect_err,ok,core/src/result.rs:1291,g0:type:T:owner;g1:type:E:owner,g0:type:T;g1:type:E,True,,,True,g0:Debug,g0:Debug,True,g0:Debug,,True,,,,,
core::result::Result::flatten,ok,core/src/result.rs:1855,g0:type:T:owner;g1:type:E:owner,g0:type:T;g1:type:E,True,,,True,,,True,,,True,,,,,
core::result::Result::or,ok,core/src/result.rs:1526,g0:type:T:owner;g1:type:E:owner;g2:type:F:declaration,g0:type:T;g1:type:E;g2:type:F,True,,,True,,,True,,,True,,,,,
core::result::Result::transpose,ok,core/src/result.rs:1819,g0:type:T:owner;g1:type:E:owner,g0:type:T;g1:type:E,True,,,True,,,True,,,True,,,,,
core::result::Result::unwrap_or,ok,core/src/result.rs:1588,g0:type:T:owner;g1:type:E:owner,g0:type:T;g1:type:E,True,,,True,,,True,,,True,,,,,
core::slice::as_array,ok,core/src/slice/mod.rs:853,g0:type:T:owner;g1:const:N:primitive:usize:declaration,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::slice::as_chunks,ok,core/src/slice/mod.rs:1399,g0:type:T:owner;g1:const:N:primitive:usize:declaration,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::slice::as_chunks_mut,ok,core/src/slice/mod.rs:1555,g0:type:T:owner;g1:const:N:primitive:usize:declaration,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::slice::as_flattened,ok,core/src/slice/mod.rs:5451,g0:type:T:owner;g1:const:N:primitive:usize:owner,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::slice::as_mut_array,ok,core/src/slice/mod.rs:872,g0:type:T:owner;g1:const:N:primitive:usize:declaration,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::slice::as_rchunks,ok,core/src/slice/mod.rs:1446,g0:type:T:owner;g1:const:N:primitive:usize:declaration,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::slice::as_rchunks_mut,ok,core/src/slice/mod.rs:1608,g0:type:T:owner;g1:const:N:primitive:usize:declaration,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::slice::binary_search,ok,core/src/slice/mod.rs:2925,g0:type:T:owner,g0:type:T,True,,,True,g0:Ord,g0:Ord,True,g0:Ord,g0:Ord,True,,,,,
core::slice::contains,ok,core/src/slice/mod.rs:2594,g0:type:T:owner,g0:type:T,True,,,True,g0:PartialEq,g0:PartialEq,True,g0:PartialEq,g0:PartialEq,True,,,,,
core::slice::eq_ignore_ascii_case,ok,core/src/slice/ascii.rs:60,,,True,,,True,,,True,,,True,,,,,
core::slice::first_chunk,ok,core/src/slice/mod.rs:327,g0:type:T:owner;g1:const:N:primitive:usize:declaration,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::slice::first_chunk_mut,ok,core/src/slice/mod.rs:357,g0:type:T:owner;g1:const:N:primitive:usize:declaration,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::slice::from_mut,ok,core/src/slice/raw.rs:211,g0:type:T:declaration,g0:type:T,True,,,True,,,True,,,True,,,,,
core::slice::from_ref,ok,core/src/slice/raw.rs:203,g0:type:T:declaration,g0:type:T,True,,,True,,,True,,,True,,,,,
core::slice::is_ascii,ok,core/src/slice/ascii.rs:18,,,True,,,True,,,True,,,True,,,,,
core::slice::is_sorted,ok,core/src/slice/mod.rs:4735,g0:type:T:owner,g0:type:T,True,,,True,g0:PartialOrd,g0:PartialOrd,True,g0:PartialOrd,g0:PartialOrd,True,,,,,
core::slice::last_chunk,ok,core/src/slice/mod.rs:509,g0:type:T:owner;g1:const:N:primitive:usize:declaration,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::slice::last_chunk_mut,ok,core/src/slice/mod.rs:539,g0:type:T:owner;g1:const:N:primitive:usize:declaration,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::slice::reverse,ok,core/src/slice/mod.rs:981,g0:type:T:owner,g0:type:T,True,,,True,,,True,,,True,,,,,
core::slice::split_at_checked,ok,core/src/slice/mod.rs:2156,g0:type:T:owner,g0:type:T,True,,,True,,,True,,,True,,,,,
core::slice::split_at_mut_checked,ok,core/src/slice/mod.rs:2195,g0:type:T:owner,g0:type:T,True,,,True,,,True,,,True,,,,,
core::slice::split_at_mut_unchecked,ok,core/src/slice/mod.rs:2095,g0:type:T:owner,g0:type:T,True,,,True,,,True,,,True,,,,,
core::slice::split_first,ok,core/src/slice/mod.rs:198,g0:type:T:owner,g0:type:T,True,,,True,,,True,,,True,,,,,
core::slice::split_first_chunk,ok,core/src/slice/mod.rs:387,g0:type:T:owner;g1:const:N:primitive:usize:declaration,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::slice::split_first_chunk_mut,ok,core/src/slice/mod.rs:417,g0:type:T:owner;g1:const:N:primitive:usize:declaration,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::slice::split_first_mut,ok,core/src/slice/mod.rs:220,g0:type:T:owner,g0:type:T,True,,,True,,,True,,,True,,,,,
core::slice::split_last,ok,core/src/slice/mod.rs:240,g0:type:T:owner,g0:type:T,True,,,True,,,True,,,True,,,,,
core::slice::split_last_chunk,ok,core/src/slice/mod.rs:447,g0:type:T:owner;g1:const:N:primitive:usize:declaration,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::slice::split_last_chunk_mut,ok,core/src/slice/mod.rs:478,g0:type:T:owner;g1:const:N:primitive:usize:declaration,g0:type:T;g1:const:N:primitive:usize,True,g1:N:primitive:usize,g1:N:primitive:usize,True,,,True,,,True,,,,,
core::slice::split_last_mut,ok,core/src/slice/mod.rs:262,g0:type:T:owner,g0:type:T,True,,,True,,,True,,,True,,,,,
core::slice::split_off_first,ok,core/src/slice/mod.rs:5017,g0:type:T:owner;g1:lifetime:'a:declaration,g0:type:T;lifetime:lifetime:'a,True,,,True,,,True,,,True,,,,,
core::slice::split_off_first_mut,ok,core/src/slice/mod.rs:5042,g0:type:T:owner;g1:lifetime:'a:declaration,lifetime:lifetime:'a;g0:type:T,True,,,True,,,True,,,True,,,,,
core::slice::split_off_last_mut,ok,core/src/slice/mod.rs:5092,g0:type:T:owner;g1:lifetime:'a:declaration,lifetime:lifetime:'a;g0:type:T,True,,,True,,,True,,,True,,,,,
core::slice::starts_with,ok,core/src/slice/mod.rs:2624,g0:type:T:owner,g0:type:T,True,,,True,g0:PartialEq,g0:PartialEq,True,g0:PartialEq,g0:PartialEq,True,,,,,
core::slice::trim_ascii,ok,core/src/slice/ascii.rs:308,,,True,,,True,,,True,,,True,,,,,
core::slice::trim_ascii_end,ok,core/src/slice/ascii.rs:274,,,True,,,True,,,True,,,True,,,,,
core::slice::trim_ascii_start,ok,core/src/slice/ascii.rs:241,,,True,,,True,,,True,,,True,,,,,
core::str::ceil_char_boundary,ok,core/src/str/mod.rs:480,,,True,,,True,,,True,,,True,,,,,
core::str::eq_ignore_ascii_case,ok,core/src/str/mod.rs:2859,,,True,,,True,,,True,,,True,,,,,
core::str::floor_char_boundary,ok,core/src/str/mod.rs:423,,,True,,,True,,,True,,,True,,,,,
core::str::from_utf8,ok,core/src/str/mod.rs:252,,,True,,,True,,,True,,,True,,,,,
core::str::from_utf8_mut,ok,core/src/str/mod.rs:285,,,True,,,True,,,True,,,True,,,,,
core::str::make_ascii_lowercase,ok,core/src/str/mod.rs:2966,,,True,,,True,,,True,,,True,,,,,
core::str::make_ascii_uppercase,ok,core/src/str/mod.rs:2938,,,True,,,True,,,True,,,True,,,,,
core::str::split_at_checked,ok,core/src/str/mod.rs:940,,,True,,,True,,,True,,,True,,,,,
core::str::split_at_mut_checked,ok,core/src/str/mod.rs:981,,,True,,,True,,,True,,,True,,,,,
core::str::trim,ok,core/src/str/mod.rs:2186,,,True,,,True,,,True,,,True,,,,,
core::str::trim_ascii,ok,core/src/str/mod.rs:3051,,,True,,,True,,,True,,,True,,,,,
core::str::trim_ascii_end,ok,core/src/str/mod.rs:3022,,,True,,,True,,,True,,,True,,,,,
core::str::trim_ascii_start,ok,core/src/str/mod.rs:2994,,,True,,,True,,,True,,,True,,,,,
core::str::trim_end,ok,core/src/str/mod.rs:2264,,,True,,,True,,,True,,,True,,,,,
core::str::trim_left,ok,core/src/str/mod.rs:2304,,,True,,,True,,,True,,,True,,,,,
core::str::trim_right,ok,core/src/str/mod.rs:2344,,,True,,,True,,,True,,,True,,,,,
core::str::trim_start,ok,core/src/str/mod.rs:2225,,,True,,,True,,,True,,,True,,,,,
std::collections::HashMap::get_mut,ok,std/src/collections/hash/map.rs:1297,g0:type:K:owner;g1:type:V:owner;g2:type:S:owner;g3:type:A:owner;g4:type:Q:declaration,lifetime:lifetime:'a;g0:type:Key;g1:type:Value;g2:type:S;g3:type:A;g4:type:Q,True,,,True,g0:Borrow<g4>;g0:Eq;g0:Hash;g2:BuildHasher;g3:Allocator;g4:?Sized;g4:Eq;g4:Hash,g0:Borrow<g4>;g0:Eq;g0:Hash;g2:BuildHasher;g3:Allocator;g4:?Sized;g4:Eq;g4:Hash,True,g0:Borrow<g4>;g0:Eq;g0:Hash;g2:BuildHasher;g3:Allocator;g4:?Sized;g4:Eq;g4:Hash,,True,,,,,
std::collections::HashMap::remove_entry,ok,std/src/collections/hash/map.rs:1420,g0:type:K:owner;g1:type:V:owner;g2:type:S:owner;g3:type:A:owner;g4:type:Q:declaration,g0:type:Key;g1:type:Value;g2:type:S;g3:type:A;g4:type:Q,True,,,True,g0:Borrow<g4>;g0:Eq;g0:Hash;g2:BuildHasher;g3:Allocator;g4:?Sized;g4:Eq;g4:Hash,g0:Borrow<g4>;g0:Eq;g0:Hash;g2:BuildHasher;g3:Allocator;g4:?Sized;g4:Eq;g4:Hash,True,g0:Borrow<g4>;g0:Eq;g0:Hash;g2:BuildHasher;g3:Allocator;g4:?Sized;g4:Eq;g4:Hash,,True,,,,,
std::collections::HashSet::is_disjoint,ok,std/src/collections/hash/set.rs:955,g0:type:T:owner;g1:type:S:owner;g2:type:A:owner,g0:type:Key;g1:type:S;g2:type:A,True,,,True,g0:Eq;g0:Hash;g1:BuildHasher;g2:Allocator,g0:Eq;g0:Hash;g1:BuildHasher;g2:Allocator,True,g0:Eq;g0:Hash;g1:BuildHasher;g2:Allocator,,True,,,,,
std::collections::HashSet::is_subset,ok,std/src/collections/hash/set.rs:981,g0:type:T:owner;g1:type:S:owner;g2:type:A:owner,g0:type:Key;g1:type:S;g2:type:A,True,,,True,g0:Eq;g0:Hash;g1:BuildHasher;g2:Allocator,g0:Eq;g0:Hash;g1:BuildHasher;g2:Allocator,True,g0:Eq;g0:Hash;g1:BuildHasher;g2:Allocator,,True,,,,,
std::collections::HashSet::is_superset,ok,std/src/collections/hash/set.rs:1007,g0:type:T:owner;g1:type:S:owner;g2:type:A:owner,g0:type:Key;g1:type:S;g2:type:A,True,,,True,g0:Eq;g0:Hash;g1:BuildHasher;g2:Allocator,g0:Eq;g0:Hash;g1:BuildHasher;g2:Allocator,True,g0:Eq;g0:Hash;g1:BuildHasher;g2:Allocator,,True,,,,,
std::collections::HashSet::replace,ok,std/src/collections/hash/set.rs:1056,g0:type:T:owner;g1:type:S:owner;g2:type:A:owner,g0:type:Key;g1:type:S;g2:type:A,True,,,True,g0:Eq;g0:Hash;g1:BuildHasher;g2:Allocator,g0:Eq;g0:Hash;g1:BuildHasher;g2:Allocator,True,g0:Eq;g0:Hash;g1:BuildHasher;g2:Allocator,,True,,,,,
std::thread::Result::flatten,ok,core/src/result.rs:1855,g0:type:T:owner;g1:type:E:owner,g0:type:T;g1:type:E,True,,,True,,,True,,,True,,,,,
