target,status,manifest_declaration,manifest_input_arity,assume_spec_input_arity,manifest_input_shapes,assume_spec_input_shapes,input_arity_match,input_shape_match,manifest_output_shape,assume_spec_output_shape,output_shape_match,error
alloc::collections::BTreeSet::last,ok,alloc/src/collections/btree/set.rs:819,1,1,"shared_ref<path:BTreeSet<generic,generic>>","shared_ref<path:BTreeSet<generic,generic>>",True,True,path:Option<shared_ref<generic>>,path:Option<shared_ref<generic>>,True,
alloc::collections::BTreeSet::pop_first,ok,alloc/src/collections/btree/set.rs:843,1,1,"mut_ref<path:BTreeSet<generic,generic>>","mut_ref<path:BTreeSet<generic,generic>>",True,True,path:Option<generic>,path:Option<generic>,True,
alloc::collections::BTreeSet::pop_last,ok,alloc/src/collections/btree/set.rs:867,1,1,"mut_ref<path:BTreeSet<generic,generic>>","mut_ref<path:BTreeSet<generic,generic>>",True,True,path:Option<generic>,path:Option<generic>,True,
alloc::collections::BTreeSet::replace,ok,alloc/src/collections/btree/set.rs:924,2,2,"mut_ref<path:BTreeSet<generic,generic>>;generic","mut_ref<path:BTreeSet<generic,generic>>;generic",True,True,path:Option<generic>,path:Option<generic>,True,
alloc::collections::LinkedList::back_mut,ok,alloc/src/collections/linked_list.rs:824,1,1,"mut_ref<path:LinkedList<generic,generic>>","mut_ref<path:LinkedList<generic,generic>>",True,True,path:Option<mut_ref<generic>>,path:Option<mut_ref<generic>>,True,
alloc::collections::VecDeque::binary_search,ok,alloc/src/collections/vec_deque/mod.rs:3201,2,2,"shared_ref<path:VecDeque<generic,generic>>;shared_ref<generic>","shared_ref<path:VecDeque<generic,generic>>;shared_ref<generic>",True,True,"path:Result<primitive:usize,primitive:usize>","path:Result<primitive:usize,primitive:usize>",True,
alloc::ffi::CString::from_vec_with_nul_unchecked,ok,alloc/src/ffi/c_str.rs:635,1,1,path:Vec<primitive:u8>,path:Vec<primitive:u8>,True,True,path:CString,path:CString,True,
alloc::string::String::as_bytes,ok,alloc/src/string.rs:1450,1,1,shared_ref<path:String>,shared_ref<path:String>,True,True,shared_ref<slice<primitive:u8>>,shared_ref<slice<primitive:u8>>,True,
alloc::string::String::clear,ok,alloc/src/string.rs:1941,1,1,mut_ref<path:String>,mut_ref<path:String>,True,True,unit,unit,True,
alloc::string::String::from_utf8_unchecked,ok,alloc/src/string.rs:1018,1,1,path:Vec<primitive:u8>,path:Vec<primitive:u8>,True,True,path:String,path:String,True,
alloc::string::String::insert,ok,alloc/src/string.rs:1731,3,3,mut_ref<path:String>;primitive:usize;primitive:char,mut_ref<path:String>;primitive:usize;primitive:char,True,True,unit,unit,True,
alloc::string::String::insert_str,ok,alloc/src/string.rs:1788,3,3,mut_ref<path:String>;primitive:usize;shared_ref<primitive:str>,mut_ref<path:String>;primitive:usize;shared_ref<primitive:str>,True,True,unit,unit,True,
alloc::string::String::into_bytes,ok,alloc/src/string.rs:1039,1,1,path:String,path:String,True,True,path:Vec<primitive:u8>,path:Vec<primitive:u8>,True,
alloc::string::String::is_empty,ok,alloc/src/string.rs:1885,1,1,shared_ref<path:String>,shared_ref<path:String>,True,True,primitive:bool,primitive:bool,True,
alloc::string::String::len,ok,alloc/src/string.rs:1865,1,1,shared_ref<path:String>,shared_ref<path:String>,True,True,primitive:usize,primitive:usize,True,
alloc::string::String::pop,ok,alloc/src/string.rs:1502,1,1,mut_ref<path:String>,mut_ref<path:String>,True,True,path:Option<primitive:char>,path:Option<primitive:char>,True,
alloc::string::String::push,ok,alloc/src/string.rs:1421,2,2,mut_ref<path:String>;primitive:char,mut_ref<path:String>;primitive:char,True,True,unit,unit,True,
alloc::string::String::push_str,ok,alloc/src/string.rs:1106,2,2,mut_ref<path:String>;shared_ref<primitive:str>,mut_ref<path:String>;shared_ref<primitive:str>,True,True,unit,unit,True,
alloc::string::String::remove,ok,alloc/src/string.rs:1535,2,2,mut_ref<path:String>;primitive:usize,mut_ref<path:String>;primitive:usize,True,True,primitive:char,primitive:char,True,
alloc::string::String::replace_range,ok,alloc/src/string.rs:2080,3,3,mut_ref<path:String>;generic;shared_ref<primitive:str>,mut_ref<path:String>;generic;shared_ref<primitive:str>,True,True,unit,unit,True,
alloc::string::String::split_off,ok,alloc/src/string.rs:1917,2,2,mut_ref<path:String>;primitive:usize,mut_ref<path:String>;primitive:usize,True,True,path:String,path:String,True,
alloc::string::String::truncate,ok,alloc/src/string.rs:1478,2,2,mut_ref<path:String>;primitive:usize,mut_ref<path:String>;primitive:usize,True,True,unit,unit,True,
alloc::vec::Vec::dedup,ok,alloc/src/vec/mod.rs:3704,1,1,"mut_ref<path:Vec<generic,generic>>","mut_ref<path:Vec<generic,generic>>",True,True,unit,unit,True,
alloc::vec::Vec::into_boxed_slice,ok,alloc/src/vec/mod.rs:1731,1,1,"path:Vec<generic,generic>","path:Vec<generic,generic>",True,True,"path:Box<slice<generic>,generic>","path:Box<slice<generic>,generic>",True,
alloc::vec::Vec::into_flattened,ok,alloc/src/vec/mod.rs:3633,1,1,"path:Vec<array[N]<generic>,generic>","path:Vec<array[N]<generic>,generic>",True,True,"path:Vec<generic,generic>","path:Vec<generic,generic>",True,
core::array::as_mut_slice,ok,core/src/array/mod.rs:658,1,1,mut_ref<array[N]<generic>>,mut_ref<array[N]<generic>>,True,True,mut_ref<slice<generic>>,mut_ref<slice<generic>>,True,
core::array::each_mut,ok,core/src/array/mod.rs:719,1,1,mut_ref<array[N]<generic>>,mut_ref<array[N]<generic>>,True,True,array[N]<mut_ref<generic>>,array[N]<mut_ref<generic>>,True,
core::array::each_ref,ok,core/src/array/mod.rs:688,1,1,shared_ref<array[N]<generic>>,shared_ref<array[N]<generic>>,True,True,array[N]<shared_ref<generic>>,array[N]<shared_ref<generic>>,True,
core::array::from_mut,ok,core/src/array/mod.rs:175,1,1,mut_ref<generic>,mut_ref<generic>,True,True,mut_ref<array[1]<generic>>,mut_ref<array[1]<generic>>,True,
core::array::from_ref,ok,core/src/array/mod.rs:167,1,1,shared_ref<generic>,shared_ref<generic>,True,True,shared_ref<array[1]<generic>>,shared_ref<array[1]<generic>>,True,
core::cmp::max,ok,core/src/cmp.rs:1681,2,2,generic;generic,generic;generic,True,True,generic,generic,True,
core::cmp::min,ok,core/src/cmp.rs:1574,2,2,generic;generic,generic;generic,True,True,generic,generic,True,
core::convert::identity,ok,core/src/convert/mod.rs:106,1,1,generic,generic,True,True,generic,generic,True,
core::hint::black_box,ok,core/src/hint.rs:490,1,1,generic,generic,True,True,generic,generic,True,
core::hint::select_unpredictable,ok,core/src/hint.rs:832,3,3,primitive:bool;generic;generic,primitive:bool;generic;generic,True,True,generic,generic,True,
core::mem::min_align_of,ok,core/src/mem/mod.rs:489,0,0,,,True,True,primitive:usize,primitive:usize,True,
core::mem::min_align_of_val,ok,core/src/mem/mod.rs:512,1,1,shared_ref<generic>,shared_ref<generic>,True,True,primitive:usize,primitive:usize,True,
core::mem::replace,ok,core/src/mem/mod.rs:954,2,2,mut_ref<generic>;generic,mut_ref<generic>;generic,True,True,generic,generic,True,
core::ops::Range::is_empty,ok,core/src/ops/range.rs:151,1,1,shared_ref<path:Range<generic>>,shared_ref<path:Range<generic>>,True,True,primitive:bool,primitive:bool,True,
core::ops::RangeInclusive::into_inner,ok,core/src/ops/range.rs:457,1,1,path:RangeInclusive<generic>,path:RangeInclusive<generic>,True,True,"tuple(generic,generic)","tuple(generic,generic)",True,
core::ops::RangeInclusive::is_empty,ok,core/src/ops/range.rs:559,1,1,shared_ref<path:RangeInclusive<generic>>,shared_ref<path:RangeInclusive<generic>>,True,True,primitive:bool,primitive:bool,True,
core::option::Option::and,ok,core/src/option.rs:1493,2,2,path:Option<generic>;path:Option<generic>,path:Option<generic>;path:Option<generic>,True,True,path:Option<generic>,path:Option<generic>,True,
core::option::Option::flatten,ok,core/src/option.rs:2937,1,1,path:Option<path:Option<generic>>,path:Option<path:Option<generic>>,True,True,path:Option<generic>,path:Option<generic>,True,
core::option::Option::or,ok,core/src/option.rs:1617,2,2,path:Option<generic>;path:Option<generic>,path:Option<generic>;path:Option<generic>,True,True,path:Option<generic>,path:Option<generic>,True,
core::option::Option::replace,ok,core/src/option.rs:1958,2,2,mut_ref<path:Option<generic>>;generic,mut_ref<path:Option<generic>>;generic,True,True,path:Option<generic>,path:Option<generic>,True,
core::option::Option::transpose,ok,core/src/option.rs:2237,1,1,"path:Option<path:Result<generic,generic>>","path:Option<path:Result<generic,generic>>",True,True,"path:Result<path:Option<generic>,generic>","path:Result<path:Option<generic>,generic>",True,
core::option::Option::unzip,ok,core/src/option.rs:2110,1,1,"path:Option<tuple(generic,generic)>","path:Option<tuple(generic,generic)>",True,True,"tuple(path:Option<generic>,path:Option<generic>)","tuple(path:Option<generic>,path:Option<generic>)",True,
core::option::Option::xor,ok,core/src/option.rs:1680,2,2,path:Option<generic>;path:Option<generic>,path:Option<generic>;path:Option<generic>,True,True,path:Option<generic>,path:Option<generic>,True,
core::option::Option::zip,ok,core/src/option.rs:1979,2,2,path:Option<generic>;path:Option<generic>,path:Option<generic>;path:Option<generic>,True,True,"path:Option<tuple(generic,generic)>","path:Option<tuple(generic,generic)>",True,
core::result::Result::and,ok,core/src/result.rs:1440,2,2,"path:Result<generic,generic>;path:Result<generic,generic>","path:Result<generic,generic>;path:Result<generic,generic>",True,True,"path:Result<generic,generic>","path:Result<generic,generic>",True,
core::result::Result::expect_err,ok,core/src/result.rs:1291,2,2,"path:Result<generic,generic>;shared_ref<primitive:str>","path:Result<generic,generic>;shared_ref<primitive:str>",True,True,generic,generic,True,
core::result::Result::flatten,ok,core/src/result.rs:1855,1,1,"path:Result<path:Result<generic,generic>,generic>","path:Result<path:Result<generic,generic>,generic>",True,True,"path:Result<generic,generic>","path:Result<generic,generic>",True,
core::result::Result::or,ok,core/src/result.rs:1526,2,2,"path:Result<generic,generic>;path:Result<generic,generic>","path:Result<generic,generic>;path:Result<generic,generic>",True,True,"path:Result<generic,generic>","path:Result<generic,generic>",True,
core::result::Result::transpose,ok,core/src/result.rs:1819,1,1,"path:Result<path:Option<generic>,generic>","path:Result<path:Option<generic>,generic>",True,True,"path:Option<path:Result<generic,generic>>","path:Option<path:Result<generic,generic>>",True,
core::result::Result::unwrap_or,ok,core/src/result.rs:1588,2,2,"path:Result<generic,generic>;generic","path:Result<generic,generic>;generic",True,True,generic,generic,True,
core::slice::as_array,ok,core/src/slice/mod.rs:853,1,1,shared_ref<slice<generic>>,shared_ref<slice<generic>>,True,True,path:Option<shared_ref<array[N]<generic>>>,path:Option<shared_ref<array[N]<generic>>>,True,
core::slice::as_chunks,ok,core/src/slice/mod.rs:1399,1,1,shared_ref<slice<generic>>,shared_ref<slice<generic>>,True,True,"tuple(shared_ref<slice<array[N]<generic>>>,shared_ref<slice<generic>>)","tuple(shared_ref<slice<array[N]<generic>>>,shared_ref<slice<generic>>)",True,
core::slice::as_chunks_mut,ok,core/src/slice/mod.rs:1555,1,1,mut_ref<slice<generic>>,mut_ref<slice<generic>>,True,True,"tuple(mut_ref<slice<array[N]<generic>>>,mut_ref<slice<generic>>)","tuple(mut_ref<slice<array[N]<generic>>>,mut_ref<slice<generic>>)",True,
core::slice::as_flattened,ok,core/src/slice/mod.rs:5451,1,1,shared_ref<slice<array[N]<generic>>>,shared_ref<slice<array[N]<generic>>>,True,True,shared_ref<slice<generic>>,shared_ref<slice<generic>>,True,
core::slice::as_mut_array,ok,core/src/slice/mod.rs:872,1,1,mut_ref<slice<generic>>,mut_ref<slice<generic>>,True,True,path:Option<mut_ref<array[N]<generic>>>,path:Option<mut_ref<array[N]<generic>>>,True,
core::slice::as_rchunks,ok,core/src/slice/mod.rs:1446,1,1,shared_ref<slice<generic>>,shared_ref<slice<generic>>,True,True,"tuple(shared_ref<slice<generic>>,shared_ref<slice<array[N]<generic>>>)","tuple(shared_ref<slice<generic>>,shared_ref<slice<array[N]<generic>>>)",True,
core::slice::as_rchunks_mut,ok,core/src/slice/mod.rs:1608,1,1,mut_ref<slice<generic>>,mut_ref<slice<generic>>,True,True,"tuple(mut_ref<slice<generic>>,mut_ref<slice<array[N]<generic>>>)","tuple(mut_ref<slice<generic>>,mut_ref<slice<array[N]<generic>>>)",True,
core::slice::binary_search,ok,core/src/slice/mod.rs:2925,2,2,shared_ref<slice<generic>>;shared_ref<generic>,shared_ref<slice<generic>>;shared_ref<generic>,True,True,"path:Result<primitive:usize,primitive:usize>","path:Result<primitive:usize,primitive:usize>",True,
core::slice::contains,ok,core/src/slice/mod.rs:2594,2,2,shared_ref<slice<generic>>;shared_ref<generic>,shared_ref<slice<generic>>;shared_ref<generic>,True,True,primitive:bool,primitive:bool,True,
core::slice::eq_ignore_ascii_case,ok,core/src/slice/ascii.rs:60,2,2,shared_ref<slice<primitive:u8>>;shared_ref<slice<primitive:u8>>,shared_ref<slice<primitive:u8>>;shared_ref<slice<primitive:u8>>,True,True,primitive:bool,primitive:bool,True,
core::slice::first_chunk,ok,core/src/slice/mod.rs:327,1,1,shared_ref<slice<generic>>,shared_ref<slice<generic>>,True,True,path:Option<shared_ref<array[N]<generic>>>,path:Option<shared_ref<array[N]<generic>>>,True,
core::slice::first_chunk_mut,ok,core/src/slice/mod.rs:357,1,1,mut_ref<slice<generic>>,mut_ref<slice<generic>>,True,True,path:Option<mut_ref<array[N]<generic>>>,path:Option<mut_ref<array[N]<generic>>>,True,
core::slice::from_mut,ok,core/src/slice/raw.rs:211,1,1,mut_ref<generic>,mut_ref<generic>,True,True,mut_ref<slice<generic>>,mut_ref<slice<generic>>,True,
core::slice::from_ref,ok,core/src/slice/raw.rs:203,1,1,shared_ref<generic>,shared_ref<generic>,True,True,shared_ref<slice<generic>>,shared_ref<slice<generic>>,True,
core::slice::is_ascii,ok,core/src/slice/ascii.rs:18,1,1,shared_ref<slice<primitive:u8>>,shared_ref<slice<primitive:u8>>,True,True,primitive:bool,primitive:bool,True,
core::slice::is_sorted,ok,core/src/slice/mod.rs:4735,1,1,shared_ref<slice<generic>>,shared_ref<slice<generic>>,True,True,primitive:bool,primitive:bool,True,
core::slice::last_chunk,ok,core/src/slice/mod.rs:509,1,1,shared_ref<slice<generic>>,shared_ref<slice<generic>>,True,True,path:Option<shared_ref<array[N]<generic>>>,path:Option<shared_ref<array[N]<generic>>>,True,
core::slice::last_chunk_mut,ok,core/src/slice/mod.rs:539,1,1,mut_ref<slice<generic>>,mut_ref<slice<generic>>,True,True,path:Option<mut_ref<array[N]<generic>>>,path:Option<mut_ref<array[N]<generic>>>,True,
core::slice::reverse,ok,core/src/slice/mod.rs:981,1,1,mut_ref<slice<generic>>,mut_ref<slice<generic>>,True,True,unit,unit,True,
core::slice::split_at_checked,ok,core/src/slice/mod.rs:2156,2,2,shared_ref<slice<generic>>;primitive:usize,shared_ref<slice<generic>>;primitive:usize,True,True,"path:Option<tuple(shared_ref<slice<generic>>,shared_ref<slice<generic>>)>","path:Option<tuple(shared_ref<slice<generic>>,shared_ref<slice<generic>>)>",True,
core::slice::split_at_mut_checked,ok,core/src/slice/mod.rs:2195,2,2,mut_ref<slice<generic>>;primitive:usize,mut_ref<slice<generic>>;primitive:usize,True,True,"path:Option<tuple(mut_ref<slice<generic>>,mut_ref<slice<generic>>)>","path:Option<tuple(mut_ref<slice<generic>>,mut_ref<slice<generic>>)>",True,
core::slice::split_at_mut_unchecked,ok,core/src/slice/mod.rs:2095,2,2,mut_ref<slice<generic>>;primitive:usize,mut_ref<slice<generic>>;primitive:usize,True,True,"tuple(mut_ref<slice<generic>>,mut_ref<slice<generic>>)","tuple(mut_ref<slice<generic>>,mut_ref<slice<generic>>)",True,
core::slice::split_first,ok,core/src/slice/mod.rs:198,1,1,shared_ref<slice<generic>>,shared_ref<slice<generic>>,True,True,"path:Option<tuple(shared_ref<generic>,shared_ref<slice<generic>>)>","path:Option<tuple(shared_ref<generic>,shared_ref<slice<generic>>)>",True,
core::slice::split_first_chunk,ok,core/src/slice/mod.rs:387,1,1,shared_ref<slice<generic>>,shared_ref<slice<generic>>,True,True,"path:Option<tuple(shared_ref<array[N]<generic>>,shared_ref<slice<generic>>)>","path:Option<tuple(shared_ref<array[N]<generic>>,shared_ref<slice<generic>>)>",True,
core::slice::split_first_chunk_mut,ok,core/src/slice/mod.rs:417,1,1,mut_ref<slice<generic>>,mut_ref<slice<generic>>,True,True,"path:Option<tuple(mut_ref<array[N]<generic>>,mut_ref<slice<generic>>)>","path:Option<tuple(mut_ref<array[N]<generic>>,mut_ref<slice<generic>>)>",True,
core::slice::split_first_mut,ok,core/src/slice/mod.rs:220,1,1,mut_ref<slice<generic>>,mut_ref<slice<generic>>,True,True,"path:Option<tuple(mut_ref<generic>,mut_ref<slice<generic>>)>","path:Option<tuple(mut_ref<generic>,mut_ref<slice<generic>>)>",True,
core::slice::split_last,ok,core/src/slice/mod.rs:240,1,1,shared_ref<slice<generic>>,shared_ref<slice<generic>>,True,True,"path:Option<tuple(shared_ref<generic>,shared_ref<slice<generic>>)>","path:Option<tuple(shared_ref<generic>,shared_ref<slice<generic>>)>",True,
core::slice::split_last_chunk,ok,core/src/slice/mod.rs:447,1,1,shared_ref<slice<generic>>,shared_ref<slice<generic>>,True,True,"path:Option<tuple(shared_ref<slice<generic>>,shared_ref<array[N]<generic>>)>","path:Option<tuple(shared_ref<slice<generic>>,shared_ref<array[N]<generic>>)>",True,
core::slice::split_last_chunk_mut,ok,core/src/slice/mod.rs:478,1,1,mut_ref<slice<generic>>,mut_ref<slice<generic>>,True,True,"path:Option<tuple(mut_ref<slice<generic>>,mut_ref<array[N]<generic>>)>","path:Option<tuple(mut_ref<slice<generic>>,mut_ref<array[N]<generic>>)>",True,
core::slice::split_last_mut,ok,core/src/slice/mod.rs:262,1,1,mut_ref<slice<generic>>,mut_ref<slice<generic>>,True,True,"path:Option<tuple(mut_ref<generic>,mut_ref<slice<generic>>)>","path:Option<tuple(mut_ref<generic>,mut_ref<slice<generic>>)>",True,
core::slice::split_off_first,ok,core/src/slice/mod.rs:5017,1,1,mut_ref<shared_ref<slice<generic>>>,mut_ref<shared_ref<slice<generic>>>,True,True,path:Option<shared_ref<generic>>,path:Option<shared_ref<generic>>,True,
core::slice::split_off_first_mut,ok,core/src/slice/mod.rs:5042,1,1,mut_ref<mut_ref<slice<generic>>>,mut_ref<mut_ref<slice<generic>>>,True,True,path:Option<mut_ref<generic>>,path:Option<mut_ref<generic>>,True,
core::slice::split_off_last_mut,ok,core/src/slice/mod.rs:5092,1,1,mut_ref<mut_ref<slice<generic>>>,mut_ref<mut_ref<slice<generic>>>,True,True,path:Option<mut_ref<generic>>,path:Option<mut_ref<generic>>,True,
core::slice::starts_with,ok,core/src/slice/mod.rs:2624,2,2,shared_ref<slice<generic>>;shared_ref<slice<generic>>,shared_ref<slice<generic>>;shared_ref<slice<generic>>,True,True,primitive:bool,primitive:bool,True,
core::slice::trim_ascii,ok,core/src/slice/ascii.rs:308,1,1,shared_ref<slice<primitive:u8>>,shared_ref<slice<primitive:u8>>,True,True,shared_ref<slice<primitive:u8>>,shared_ref<slice<primitive:u8>>,True,
core::slice::trim_ascii_end,ok,core/src/slice/ascii.rs:274,1,1,shared_ref<slice<primitive:u8>>,shared_ref<slice<primitive:u8>>,True,True,shared_ref<slice<primitive:u8>>,shared_ref<slice<primitive:u8>>,True,
core::slice::trim_ascii_start,ok,core/src/slice/ascii.rs:241,1,1,shared_ref<slice<primitive:u8>>,shared_ref<slice<primitive:u8>>,True,True,shared_ref<slice<primitive:u8>>,shared_ref<slice<primitive:u8>>,True,
core::str::ceil_char_boundary,ok,core/src/str/mod.rs:480,2,2,shared_ref<primitive:str>;primitive:usize,shared_ref<primitive:str>;primitive:usize,True,True,primitive:usize,primitive:usize,True,
core::str::eq_ignore_ascii_case,ok,core/src/str/mod.rs:2859,2,2,shared_ref<primitive:str>;shared_ref<primitive:str>,shared_ref<primitive:str>;shared_ref<primitive:str>,True,True,primitive:bool,primitive:bool,True,
core::str::floor_char_boundary,ok,core/src/str/mod.rs:423,2,2,shared_ref<primitive:str>;primitive:usize,shared_ref<primitive:str>;primitive:usize,True,True,primitive:usize,primitive:usize,True,
core::str::from_utf8,ok,core/src/str/mod.rs:252,1,1,shared_ref<slice<primitive:u8>>,shared_ref<slice<primitive:u8>>,True,True,"path:Result<shared_ref<primitive:str>,path:Utf8Error>","path:Result<shared_ref<primitive:str>,path:Utf8Error>",True,
core::str::from_utf8_mut,ok,core/src/str/mod.rs:285,1,1,mut_ref<slice<primitive:u8>>,mut_ref<slice<primitive:u8>>,True,True,"path:Result<mut_ref<primitive:str>,path:Utf8Error>","path:Result<mut_ref<primitive:str>,path:Utf8Error>",True,
core::str::make_ascii_lowercase,ok,core/src/str/mod.rs:2966,1,1,mut_ref<primitive:str>,mut_ref<primitive:str>,True,True,unit,unit,True,
core::str::make_ascii_uppercase,ok,core/src/str/mod.rs:2938,1,1,mut_ref<primitive:str>,mut_ref<primitive:str>,True,True,unit,unit,True,
core::str::split_at_checked,ok,core/src/str/mod.rs:940,2,2,shared_ref<primitive:str>;primitive:usize,shared_ref<primitive:str>;primitive:usize,True,True,"path:Option<tuple(shared_ref<primitive:str>,shared_ref<primitive:str>)>","path:Option<tuple(shared_ref<primitive:str>,shared_ref<primitive:str>)>",True,
core::str::split_at_mut_checked,ok,core/src/str/mod.rs:981,2,2,mut_ref<primitive:str>;primitive:usize,mut_ref<primitive:str>;primitive:usize,True,True,"path:Option<tuple(mut_ref<primitive:str>,mut_ref<primitive:str>)>","path:Option<tuple(mut_ref<primitive:str>,mut_ref<primitive:str>)>",True,
core::str::trim,ok,core/src/str/mod.rs:2186,1,1,shared_ref<primitive:str>,shared_ref<primitive:str>,True,True,shared_ref<primitive:str>,shared_ref<primitive:str>,True,
core::str::trim_ascii,ok,core/src/str/mod.rs:3051,1,1,shared_ref<primitive:str>,shared_ref<primitive:str>,True,True,shared_ref<primitive:str>,shared_ref<primitive:str>,True,
core::str::trim_ascii_end,ok,core/src/str/mod.rs:3022,1,1,shared_ref<primitive:str>,shared_ref<primitive:str>,True,True,shared_ref<primitive:str>,shared_ref<primitive:str>,True,
core::str::trim_ascii_start,ok,core/src/str/mod.rs:2994,1,1,shared_ref<primitive:str>,shared_ref<primitive:str>,True,True,shared_ref<primitive:str>,shared_ref<primitive:str>,True,
core::str::trim_end,ok,core/src/str/mod.rs:2264,1,1,shared_ref<primitive:str>,shared_ref<primitive:str>,True,True,shared_ref<primitive:str>,shared_ref<primitive:str>,True,
core::str::trim_left,ok,core/src/str/mod.rs:2304,1,1,shared_ref<primitive:str>,shared_ref<primitive:str>,True,True,shared_ref<primitive:str>,shared_ref<primitive:str>,True,
core::str::trim_right,ok,core/src/str/mod.rs:2344,1,1,shared_ref<primitive:str>,shared_ref<primitive:str>,True,True,shared_ref<primitive:str>,shared_ref<primitive:str>,True,
core::str::trim_start,ok,core/src/str/mod.rs:2225,1,1,shared_ref<primitive:str>,shared_ref<primitive:str>,True,True,shared_ref<primitive:str>,shared_ref<primitive:str>,True,
std::collections::HashMap::get_mut,ok,std/src/collections/hash/map.rs:1297,2,2,"mut_ref<path:HashMap<generic,generic,generic,generic>>;shared_ref<generic>","mut_ref<path:HashMap<generic,generic,generic,generic>>;shared_ref<generic>",True,True,path:Option<mut_ref<generic>>,path:Option<mut_ref<generic>>,True,
std::collections::HashMap::remove_entry,ok,std/src/collections/hash/map.rs:1420,2,2,"mut_ref<path:HashMap<generic,generic,generic,generic>>;shared_ref<generic>","mut_ref<path:HashMap<generic,generic,generic,generic>>;shared_ref<generic>",True,True,"path:Option<tuple(generic,generic)>","path:Option<tuple(generic,generic)>",True,
std::collections::HashSet::is_disjoint,ok,std/src/collections/hash/set.rs:955,2,2,"shared_ref<path:HashSet<generic,generic,generic>>;shared_ref<path:HashSet<generic,generic,generic>>","shared_ref<path:HashSet<generic,generic,generic>>;shared_ref<path:HashSet<generic,generic,generic>>",True,True,primitive:bool,primitive:bool,True,
