target,safe_name,batch_result_present,summary_artifact_present,summary_artifact_valid,batch_mismatched_fields,summary_mismatched_fields,field_mismatch_count,validation_passed,summary_artifact_path
alloc::boxed::Box::as_ptr,alloc__boxed__Box__as_ptr,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__boxed__Box__as_ptr/summary.json
alloc::boxed::Box::assume_init,alloc__boxed__Box__assume_init,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__boxed__Box__assume_init/summary.json
alloc::boxed::Box::downcast,alloc__boxed__Box__downcast,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__boxed__Box__downcast/summary.json
alloc::boxed::Box::from_raw,alloc__boxed__Box__from_raw,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__boxed__Box__from_raw/summary.json
alloc::boxed::Box::into_pin,alloc__boxed__Box__into_pin,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__boxed__Box__into_pin/summary.json
alloc::boxed::Box::into_raw,alloc__boxed__Box__into_raw,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__boxed__Box__into_raw/summary.json
alloc::boxed::Box::leak,alloc__boxed__Box__leak,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__boxed__Box__leak/summary.json
alloc::boxed::Box::new_uninit_slice,alloc__boxed__Box__new_uninit_slice,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__boxed__Box__new_uninit_slice/summary.json
alloc::boxed::Box::new_zeroed,alloc__boxed__Box__new_zeroed,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__boxed__Box__new_zeroed/summary.json
alloc::boxed::Box::new_zeroed_slice,alloc__boxed__Box__new_zeroed_slice,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__boxed__Box__new_zeroed_slice/summary.json
alloc::boxed::Box::pin,alloc__boxed__Box__pin,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__boxed__Box__pin/summary.json
alloc::boxed::Box::write,alloc__boxed__Box__write,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__boxed__Box__write/summary.json
alloc::boxed::BoxedArrayIntoIter::as_mut_slice,alloc__boxed__BoxedArrayIntoIter__as_mut_slice,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__boxed__BoxedArrayIntoIter__as_mut_slice/summary.json
alloc::boxed::BoxedArrayIntoIter::as_slice,alloc__boxed__BoxedArrayIntoIter__as_slice,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__boxed__BoxedArrayIntoIter__as_slice/summary.json
alloc::collections::BTreeMap::append,alloc__collections__BTreeMap__append,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__append/summary.json
alloc::collections::BTreeMap::entry,alloc__collections__BTreeMap__entry,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__entry/summary.json
alloc::collections::BTreeMap::extract_if,alloc__collections__BTreeMap__extract_if,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__extract_if/summary.json
alloc::collections::BTreeMap::first_entry,alloc__collections__BTreeMap__first_entry,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__first_entry/summary.json
alloc::collections::BTreeMap::first_key_value,alloc__collections__BTreeMap__first_key_value,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__first_key_value/summary.json
alloc::collections::BTreeMap::get_key_value,alloc__collections__BTreeMap__get_key_value,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__get_key_value/summary.json
alloc::collections::BTreeMap::get_mut,alloc__collections__BTreeMap__get_mut,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__get_mut/summary.json
alloc::collections::BTreeMap::into_keys,alloc__collections__BTreeMap__into_keys,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__into_keys/summary.json
alloc::collections::BTreeMap::into_values,alloc__collections__BTreeMap__into_values,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__into_values/summary.json
alloc::collections::BTreeMap::iter_mut,alloc__collections__BTreeMap__iter_mut,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__iter_mut/summary.json
alloc::collections::BTreeMap::last_entry,alloc__collections__BTreeMap__last_entry,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__last_entry/summary.json
alloc::collections::BTreeMap::last_key_value,alloc__collections__BTreeMap__last_key_value,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__last_key_value/summary.json
alloc::collections::BTreeMap::pop_first,alloc__collections__BTreeMap__pop_first,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__pop_first/summary.json
alloc::collections::BTreeMap::pop_last,alloc__collections__BTreeMap__pop_last,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__pop_last/summary.json
alloc::collections::BTreeMap::range,alloc__collections__BTreeMap__range,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__range/summary.json
alloc::collections::BTreeMap::range_mut,alloc__collections__BTreeMap__range_mut,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__range_mut/summary.json
alloc::collections::BTreeMap::remove_entry,alloc__collections__BTreeMap__remove_entry,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__remove_entry/summary.json
alloc::collections::BTreeMap::retain,alloc__collections__BTreeMap__retain,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__retain/summary.json
alloc::collections::BTreeMap::split_off,alloc__collections__BTreeMap__split_off,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__split_off/summary.json
alloc::collections::BTreeMap::values_mut,alloc__collections__BTreeMap__values_mut,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeMap__values_mut/summary.json
alloc::collections::BTreeSet::append,alloc__collections__BTreeSet__append,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__append/summary.json
alloc::collections::BTreeSet::difference,alloc__collections__BTreeSet__difference,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__difference/summary.json
alloc::collections::BTreeSet::extract_if,alloc__collections__BTreeSet__extract_if,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__extract_if/summary.json
alloc::collections::BTreeSet::first,alloc__collections__BTreeSet__first,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__first/summary.json
alloc::collections::BTreeSet::intersection,alloc__collections__BTreeSet__intersection,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__intersection/summary.json
alloc::collections::BTreeSet::is_disjoint,alloc__collections__BTreeSet__is_disjoint,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__is_disjoint/summary.json
alloc::collections::BTreeSet::is_subset,alloc__collections__BTreeSet__is_subset,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__is_subset/summary.json
alloc::collections::BTreeSet::is_superset,alloc__collections__BTreeSet__is_superset,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__is_superset/summary.json
alloc::collections::BTreeSet::last,alloc__collections__BTreeSet__last,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__last/summary.json
alloc::collections::BTreeSet::pop_first,alloc__collections__BTreeSet__pop_first,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__pop_first/summary.json
alloc::collections::BTreeSet::pop_last,alloc__collections__BTreeSet__pop_last,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__pop_last/summary.json
alloc::collections::BTreeSet::range,alloc__collections__BTreeSet__range,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__range/summary.json
alloc::collections::BTreeSet::replace,alloc__collections__BTreeSet__replace,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__replace/summary.json
alloc::collections::BTreeSet::retain,alloc__collections__BTreeSet__retain,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__retain/summary.json
alloc::collections::BTreeSet::split_off,alloc__collections__BTreeSet__split_off,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__split_off/summary.json
alloc::collections::BTreeSet::symmetric_difference,alloc__collections__BTreeSet__symmetric_difference,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__symmetric_difference/summary.json
alloc::collections::BTreeSet::take,alloc__collections__BTreeSet__take,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__take/summary.json
alloc::collections::BTreeSet::union,alloc__collections__BTreeSet__union,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BTreeSet__union/summary.json
alloc::collections::BinaryHeap::append,alloc__collections__BinaryHeap__append,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__append/summary.json
alloc::collections::BinaryHeap::as_slice,alloc__collections__BinaryHeap__as_slice,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__as_slice/summary.json
alloc::collections::BinaryHeap::capacity,alloc__collections__BinaryHeap__capacity,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__capacity/summary.json
alloc::collections::BinaryHeap::clear,alloc__collections__BinaryHeap__clear,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__clear/summary.json
alloc::collections::BinaryHeap::drain,alloc__collections__BinaryHeap__drain,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__drain/summary.json
alloc::collections::BinaryHeap::into_sorted_vec,alloc__collections__BinaryHeap__into_sorted_vec,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__into_sorted_vec/summary.json
alloc::collections::BinaryHeap::into_vec,alloc__collections__BinaryHeap__into_vec,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__into_vec/summary.json
alloc::collections::BinaryHeap::is_empty,alloc__collections__BinaryHeap__is_empty,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__is_empty/summary.json
alloc::collections::BinaryHeap::iter,alloc__collections__BinaryHeap__iter,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__iter/summary.json
alloc::collections::BinaryHeap::len,alloc__collections__BinaryHeap__len,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__len/summary.json
alloc::collections::BinaryHeap::new,alloc__collections__BinaryHeap__new,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__new/summary.json
alloc::collections::BinaryHeap::peek,alloc__collections__BinaryHeap__peek,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__peek/summary.json
alloc::collections::BinaryHeap::peek_mut,alloc__collections__BinaryHeap__peek_mut,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__peek_mut/summary.json
alloc::collections::BinaryHeap::pop,alloc__collections__BinaryHeap__pop,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__pop/summary.json
alloc::collections::BinaryHeap::push,alloc__collections__BinaryHeap__push,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__push/summary.json
alloc::collections::BinaryHeap::reserve,alloc__collections__BinaryHeap__reserve,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__reserve/summary.json
alloc::collections::BinaryHeap::reserve_exact,alloc__collections__BinaryHeap__reserve_exact,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__reserve_exact/summary.json
alloc::collections::BinaryHeap::retain,alloc__collections__BinaryHeap__retain,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__retain/summary.json
alloc::collections::BinaryHeap::shrink_to,alloc__collections__BinaryHeap__shrink_to,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__shrink_to/summary.json
alloc::collections::BinaryHeap::shrink_to_fit,alloc__collections__BinaryHeap__shrink_to_fit,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__shrink_to_fit/summary.json
alloc::collections::BinaryHeap::try_reserve,alloc__collections__BinaryHeap__try_reserve,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__try_reserve/summary.json
alloc::collections::BinaryHeap::try_reserve_exact,alloc__collections__BinaryHeap__try_reserve_exact,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__try_reserve_exact/summary.json
alloc::collections::BinaryHeap::with_capacity,alloc__collections__BinaryHeap__with_capacity,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__BinaryHeap__with_capacity/summary.json
alloc::collections::LinkedList::append,alloc__collections__LinkedList__append,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__LinkedList__append/summary.json
alloc::collections::LinkedList::back,alloc__collections__LinkedList__back,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__LinkedList__back/summary.json
alloc::collections::LinkedList::back_mut,alloc__collections__LinkedList__back_mut,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__LinkedList__back_mut/summary.json
alloc::collections::LinkedList::clear,alloc__collections__LinkedList__clear,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__LinkedList__clear/summary.json
alloc::collections::LinkedList::contains,alloc__collections__LinkedList__contains,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__LinkedList__contains/summary.json
alloc::collections::LinkedList::extract_if,alloc__collections__LinkedList__extract_if,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__LinkedList__extract_if/summary.json
alloc::collections::LinkedList::front,alloc__collections__LinkedList__front,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__LinkedList__front/summary.json
alloc::collections::LinkedList::front_mut,alloc__collections__LinkedList__front_mut,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__LinkedList__front_mut/summary.json
alloc::collections::LinkedList::is_empty,alloc__collections__LinkedList__is_empty,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__LinkedList__is_empty/summary.json
alloc::collections::LinkedList::iter,alloc__collections__LinkedList__iter,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__LinkedList__iter/summary.json
alloc::collections::LinkedList::iter_mut,alloc__collections__LinkedList__iter_mut,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__LinkedList__iter_mut/summary.json
alloc::collections::LinkedList::len,alloc__collections__LinkedList__len,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__LinkedList__len/summary.json
alloc::collections::LinkedList::new,alloc__collections__LinkedList__new,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__LinkedList__new/summary.json
alloc::collections::LinkedList::pop_back,alloc__collections__LinkedList__pop_back,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__LinkedList__pop_back/summary.json
alloc::collections::LinkedList::pop_front,alloc__collections__LinkedList__pop_front,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__LinkedList__pop_front/summary.json
alloc::collections::LinkedList::push_back,alloc__collections__LinkedList__push_back,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__LinkedList__push_back/summary.json
alloc::collections::LinkedList::push_back_mut,alloc__collections__LinkedList__push_back_mut,true,true,true,,,0,true,/home/chentianyu/nanvix-rust-std-specgen-rerun-2026-08-06/specgen/all-2121-gpt56sol-fresh-20260806-0453/targets/alloc__collections__LinkedList__push_back_mut/summary.json
